Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Leading percentages,Reference
"=""2p5.3s.(3P*).4d""","=""4F*""","=""3/2""","=""""","=""300040""","=""""","=""7""","=""  61                                           or  :    80  2p5.3s.(3P*<0>).4d    2[2]*       ""","="""""
"=""2p5.3s.(1P*).5s""","=""2P*?""","=""3/2""","=""""","=""300621""","=""""","=""7""","=""  79                                           or  :    79  2p5.3s.(1P*<1>).5s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""2P*""","=""3/2""","=""""","=""300777""","=""""","=""7""","=""  47                                           or  :    76  2p5.3s.(3P*<2>).6s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""4P*?""","=""3/2""","=""""","=""301423""","=""""","=""7""","=""  41                                           or  :    61  2p5.3s.(3P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""4P*?""","=""1/2""","=""""","=""301486""","=""""","=""13""","=""  54                                           or  :    81  2p5.3s.(3P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4d""","=""2P*?""","=""3/2""","=""""","=""301588""","=""""","=""7""","=""  23                                           or  :    23  2p5.3s.(1P*<1>).4d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).4d""","=""2P*?""","=""1/2""","=""""","=""301976""","=""""","=""7""","=""  40  2p5.3s.(3P*).5d 4D*                      or  :    28  2p5.3s.(1P*<1>).4d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6s""","=""2P*?""","=""1/2""","=""""","=""302142""","=""""","=""18""","=""  51                                           or  :    90  2p5.3s.(3P*<0>).6s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).5d""","=""4F*?""","=""3/2""","=""""","=""302419""","=""""","=""7""","=""  30                                           or  :    60  2p5.3s.(3P*<1>).5d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).5d""","=""4D*?""","=""1/2""","=""""","=""302458""","=""""","=""7""","=""  41                                           or  :    56  2p5.3s.(3P*<1>).5d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7s""","=""2P*""","=""3/2""","=""""","=""302686""","=""""","=""7""","=""  71                                           or  :    96  2p5.3s.(3P*<2>).7s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""2P*?""","=""1/2""","=""""","=""302830""","=""""","=""7""","=""  63                                           or  :    37  2p5.3s.(3P*<2>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4P*?""","=""1/2,3/2""","=""""","=""303233""","=""""","=""7""","=""  63                                           or  :        2p5.3s.(3P*<2>).6d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).7s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""303401""","=""""","=""7""","=""                                               or  :    89  2p5.3s.(3P*<1>).7s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4D*?""","=""1/2""","=""""","=""303683""","=""""","=""7""","=""                                               or  :        2p5.3s.(3P*<1>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).8s""","=""2P*?""","=""3/2""","=""""","=""303739""","=""""","=""18""","=""  73                                           or  :    92  2p5.3s.(3P*<2>).8s    2[2]*       ""","="""""
"=""2p5.3s.(3P*).7s""","=""4P*""","=""1/2""","=""""","=""303974""","=""""","=""7""","=""  56                                           or  :    94  2p5.3s.(3P*<0>).7s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""4P*?""","=""3/2""","=""""","=""304054""","=""""","=""7""","=""  61                                           or  :    65  2p5.3s.(3P*<2>).7d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""2P*?""","=""1/2""","=""""","=""304090""","=""""","=""18""","=""  20  2p5.(2P*).3p2.(3P) 2P*                   or  :    17  2p5.3s.(3P*<2>).7d    2[0]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""2P*""","=""3/2""","=""""","=""304371""","=""""","=""7""","=""  66                                           or  :    81  2p5.3s.(3P*<2>).9s    2[2]*       ""","="""""
"=""2p5.3s.(1P*).6s""","=""2P*""","=""1/2,3/2""","=""""","=""304451""","=""""","=""7""","=""  47                                           or  :    47  2p5.3s.(1P*<1>).6s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).6d""","=""4F*?""","=""3/2""","=""""","=""304547""","=""""","=""7""","=""  31                                           or  :    18  2p5.3s.(3P*<0>).6d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).8d""","=""4P*""","=""1/2,3/2""","=""""","=""304609""","=""""","=""7""","=""  63                                           or  :    69  2p5.3s.(3P*<2>).8d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).7d""","=""4D*""","=""1/2,3/2""","=""""","=""304767""","=""""","=""19""","=""  41                                           or  :    79  2p5.3s.(3P*<1>).7d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).10s""","=""2P*""","=""3/2""","=""""","=""304825""","=""""","=""7""","=""  78                                           or  :    94  2p5.3s.(3P*<2>).10s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).9d""","=""4P*""","=""1/2,3/2""","=""""","=""304942""","=""""","=""7""","=""  70                                           or  :        2p5.3s.(3P*<2>).9d    2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).8s""","=""4P*""","=""1/2""","=""""","=""305047""","=""""","=""7""","=""  57                                           or  :    91  2p5.3s.(3P*<0>).8s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""2P*,4P*?""","=""1/2,3/2""","=""""","=""305143""","=""""","=""7""","=""                                               or  :    84  2p5.3s.(3P*<1>).9s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).10d""","=""4P*""","=""1/2,3/2""","=""""","=""305214""","=""""","=""7""","=""  73                                           or  :        2p5.3s.(3P*<2>).10d   2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).8d""","=""4D*""","=""1/2,3/2""","=""""","=""305232""","=""""","=""19""","=""  41                                           or  :    76  2p5.3s.(3P*<1>).8d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).7d""","=""4F*""","=""3/2""","=""""","=""305319""","=""""","=""7""","=""  31                                           or  :    64  2p5.3s.(3P*<0>).7d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""2P*""","=""3/2""","=""""","=""305357""","=""""","=""7""","=""  79                                           or  :    95  2p5.3s.(3P*<2>).12s   2[2]*       ""","="""""
"=""2p5.3s.(1P*).5d""","=""2P*""","=""1/2,3/2""","=""""","=""305407""","=""""","=""7""","=""  48                                           or  :    48  2p5.3s.(1P*<1>).5d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).13s""","=""2P*""","=""3/2""","=""""","=""305506""","=""""","=""7""","=""  74                                           or  :    90  2p5.3s.(3P*<2>).13s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).12d""","=""4P*?""","=""1/2,3/2""","=""""","=""305562""","=""""","=""7""","=""  70                                           or  :        2p5.3s.(3P*<2>).12d   2[0]*,2[1]* ""","="""""
"=""2p5.3s.(3P*).14s""","=""2P*""","=""3/2""","=""""","=""305647""","=""""","=""7""","=""  80                                           or  :    97  2p5.3s.(3P*<2>).14s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).9s""","=""4P*?""","=""1/2""","=""""","=""305689""","=""""","=""19""","=""  61                                           or  :    95  2p5.3s.(3P*<0>).9s    2[0]*       ""","="""""
"=""2p5.3s.(3P*).15s""","=""2P*""","=""3/2""","=""""","=""305764""","=""""","=""19""","=""  81                                           or  :    98  2p5.3s.(3P*<2>).15s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).16s""","=""2P*""","=""3/2""","=""""","=""305848""","=""""","=""19""","=""  79                                           or  :    95  2p5.3s.(3P*<2>).16s   2[2]*       ""","="""""
"=""2p5.3s.(3P*).11s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""305897""","=""""","=""7""","=""                                               or  :    88  2p5.3s.(3P*<1>).11s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).8d""","=""4F*""","=""3/2""","=""""","=""305963""","=""""","=""7""","=""  26                                           or  :    55  2p5.3s.(3P*<0>).8d    2[2]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""306116""","=""""","=""7""","=""                                               or  :    91  2p5.3s.(3P*<1>).12s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).10s""","=""4P*""","=""1/2""","=""""","=""306168""","=""""","=""7""","=""  58                                           or  :    89  2p5.3s.(3P*<0>).10s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).13s""","=""2P*,4P*""","=""1/2,3/2""","=""""","=""306269""","=""""","=""19""","=""                                               or  :    95  2p5.3s.(3P*<1>).13s   2[1]*       ""","="""""
"=""2p5.3s.(3P*).9d""","=""4F*""","=""3/2""","=""""","=""306326""","=""""","=""19""","=""  45                                           or  :    94  2p5.3s.(3P*<0>).9d    2[2]*       ""","="""""
"=""Na II (2p5.3s 3P*<2>)""","=""Limit""","=""---""","=""""","=""306373.77""","=""""","=""0.2""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).7s""","=""2P*""","=""1/2,3/2""","=""""","=""306443""","=""""","=""8""","=""  69                                           or  :    69  2p5.3s.(1P*<1>).7s    2[1]*       ""","="""""
"=""2p5.3s.(3P*).11s""","=""4P*""","=""1/2""","=""""","=""306524""","=""""","=""8""","=""  26                                           or  :    42  2p5.3s.(3P*<0>).11s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).12s""","=""4P*""","=""1/2""","=""""","=""306712""","=""""","=""8""","=""  57                                           or  :    88  2p5.3s.(3P*<0>).12s   2[0]*       ""","="""""
"=""2p5.3s.(1P*).6d""","=""2P*""","=""1/2,3/2""","=""""","=""306899""","=""""","=""8""","=""  80                                           or  :    80  2p5.3s.(1P*<1>).6d    2[1]*       ""","="""""
"=""2p5.3s.(3P*).14s""","=""4P*""","=""1/2""","=""""","=""307031""","=""""","=""8""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).14s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).15s""","=""4P*""","=""1/2""","=""""","=""307112""","=""""","=""8""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).15s   2[0]*       ""","="""""
"=""Na II (2p5.3s 3P*<1>)""","=""Limit""","=""---""","=""""","=""307139.07""","=""""","=""0.2""","=""                                                                                              ""","="""""
"=""2p5.3s.(3P*).16s""","=""4P*""","=""1/2""","=""""","=""307204""","=""""","=""8""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).16s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).17s""","=""4P*""","=""1/2""","=""""","=""307267""","=""""","=""9""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).17s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).18s""","=""4P*""","=""1/2""","=""""","=""307312""","=""""","=""9""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).18s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).19s""","=""4P*""","=""1/2""","=""""","=""307352""","=""""","=""9""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).19s   2[0]*       ""","="""""
"=""2p5.3s.(3P*).20s""","=""4P*""","=""1/2""","=""""","=""307403""","=""""","=""9""","=""  66                                           or  :   100  2p5.3s.(3P*<0>).20s   2[0]*       ""","="""""
"=""2p5.3s.(1P*).8s""","=""2P*""","=""1/2,3/2""","=""""","=""307524""","=""""","=""8""","=""  94                                           or  :    94  2p5.3s.(1P*<1>).8s    2[1]*       ""","="""""
"=""Na II (2p5.3s 3P*<0>)""","=""Limit""","=""---""","=""""","=""307731.07""","=""""","=""0.2""","=""                                                                                              ""","="""""
"=""2p5.3s.(1P*).7d""","=""2P*""","=""1/2,3/2""","=""""","=""307802""","=""""","=""8""","=""  79                                           or  :    79  2p5.3s.(1P*<1>).7d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).9s""","=""2P*""","=""1/2,3/2""","=""""","=""308195""","=""""","=""8""","=""  95                                           or  :    95  2p5.3s.(1P*<1>).9s    2[1]*       ""","="""""
"=""2p5.3s.(1P*).8d""","=""2P*""","=""1/2,3/2""","=""""","=""308378""","=""""","=""8""","=""  80                                           or  :    80  2p5.3s.(1P*<1>).8d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).10s""","=""2P*""","=""1/2,3/2""","=""""","=""308641""","=""""","=""8""","=""  95                                           or  :    95  2p5.3s.(1P*<1>).10s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).9d""","=""2P*""","=""1/2,3/2""","=""""","=""308773""","=""""","=""8""","=""  81                                           or  :    81  2p5.3s.(1P*<1>).9d    2[1]*       ""","="""""
"=""2p5.3s.(1P*).11s""","=""2P*""","=""1/2,3/2""","=""""","=""308948""","=""""","=""8""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).11s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).10d""","=""2P*""","=""1/2,3/2""","=""""","=""309044""","=""""","=""8""","=""  84                                           or  :    84  2p5.3s.(1P*<1>).10d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).12s""","=""2P*""","=""1/2,3/2""","=""""","=""309173""","=""""","=""8""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).12s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).11d""","=""2P*""","=""1/2,3/2""","=""""","=""309247""","=""""","=""8""","=""  85                                           or  :    85  2p5.3s.(1P*<1>).11d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).13s""","=""2P*""","=""1/2,3/2""","=""""","=""309346""","=""""","=""8""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).13s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).12d""","=""2P*""","=""1/2,3/2""","=""""","=""309403""","=""""","=""8""","=""  86                                           or  :    86  2p5.3s.(1P*<1>).12d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).14s""","=""2P*""","=""1/2,3/2""","=""""","=""309473""","=""""","=""19""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).14s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).13d""","=""2P*""","=""1/2,3/2""","=""""","=""309524""","=""""","=""8""","=""  86                                           or  :    86  2p5.3s.(1P*<1>).13d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).15s""","=""2P*""","=""1/2,3/2""","=""""","=""309588""","=""""","=""19""","=""  96                                           or  :    96  2p5.3s.(1P*<1>).15s   2[1]*       ""","="""""
"=""2p5.3s.(1P*).14d""","=""2P*""","=""1/2,3/2""","=""""","=""309613""","=""""","=""8""","=""  87                                           or  :    87  2p5.3s.(1P*<1>).14d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).15d""","=""2P*""","=""1/2,3/2""","=""""","=""309693""","=""""","=""19""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).15d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).16d""","=""2P*""","=""1/2,3/2""","=""""","=""309751""","=""""","=""19""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).16d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).17d""","=""2P*""","=""1/2,3/2""","=""""","=""309799""","=""""","=""19""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).17d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).18d""","=""2P*""","=""1/2,3/2""","=""""","=""309837""","=""""","=""19""","=""  88                                           or  :    88  2p5.3s.(1P*<1>).18d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).19d""","=""2P*""","=""1/2,3/2""","=""""","=""309885""","=""""","=""19""","=""  89                                           or  :    89  2p5.3s.(1P*<1>).19d   2[1]*       ""","="""""
"=""2p5.3s.(1P*).20d""","=""2P*""","=""1/2,3/2""","=""""","=""309914""","=""""","=""19""","=""  90                                           or  :    90  2p5.3s.(1P*<1>).20d   2[1]*       ""","="""""
"=""Na II (2p5.3s 1P*<1>)""","=""Limit""","=""---""","=""""","=""310212.41""","=""""","=""0.2""","=""                                                                                              ""","="""""
"=""2p5.(2P*).3p2.(1S)""","=""2P*""","=""3/2""","=""""","=""310981""","=""""","=""2""","=""  79                                               :     6  2p5.(2P*).3d2.(1S)    2P*         ""","="""""
"=""2p5.(2P*).3p2.(1S)""","=""2P*""","=""1/2""","=""""","=""312356""","=""""","=""5""","=""  56                                               :    19  2p5.(2P*).3d2.(1S)    2P*         ""","="""""
"=""2p5.3p.(3P<1>).4p.(I)""","=""""","=""1/2,3/2""","=""""","=""323830""","=""""","=""100""","=""      2p5.(2P*<1/2>).3p.(3P<1>).4p.(I)                                                        ""","="""""
"=""2p5.3p.(3S<1>).4p""","=""2[1]*""","=""1/2,3/2""","=""""","=""326840""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).5p""","=""2[1]*""","=""1/2,3/2""","=""""","=""329865""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).5p                                                            ""","="""""
"=""2p5.3p.(3S<1>).6p""","=""2[1]*""","=""1/2,3/2""","=""""","=""331379""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).6p                                                            ""","="""""
"=""2p5.3p.(3S<1>).7p""","=""2[1]*""","=""1/2,3/2""","=""""","=""332292""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).7p                                                            ""","="""""
"=""2p5.3p.(3P<1>).5p.(I)""","=""""","=""1/2,3/2""","=""""","=""332502""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).5p.(I)                                                        ""","="""""
"=""2p5.3p.(3S<1>).8p""","=""2[1]*""","=""1/2,3/2""","=""""","=""332863""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).8p                                                            ""","="""""
"=""2p5.3p.(1D<2>).4p""","=""""","=""1/2,3/2""","=""""","=""333059""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(1D<2>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).9p""","=""2[1]*""","=""1/2,3/2""","=""""","=""333240""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).9p                                                            ""","="""""
"=""2p5.3p.(3S<1>).10p""","=""2[1]*""","=""1/2,3/2""","=""""","=""333518""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).10p                                                           ""","="""""
"=""2p5.3p.(3S<1>).11p""","=""2[1]*""","=""1/2,3/2""","=""""","=""333728""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).11p                                                           ""","="""""
"=""2p5.3p.(3S<1>).12p""","=""2[1]*""","=""1/2,3/2""","=""""","=""333866""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).12p                                                           ""","="""""
"=""2p5.3p.(3S<1>).13p""","=""2[1]*""","=""1/2,3/2""","=""""","=""333985""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).13p                                                           ""","="""""
"=""2p5.3p.(1P<1>).4p""","=""""","=""1/2,3/2""","=""""","=""334044""","=""""","=""9""","=""      2p5.(2P*<1/2>).3p.(1P<1>).4p                                                            ""","="""""
"=""2p5.3p.(3S<1>).14p""","=""2[1]*""","=""1/2,3/2""","=""""","=""334085""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(3S<1>).14p                                                           ""","="""""
"=""2p5.3p.(3S<1>).15p""","=""2[1]*""","=""1/2,3/2""","=""""","=""334169""","=""""","=""11""","=""      2p5.(2P*<3/2>).3p.(3S<1>).15p                                                           ""","="""""
"=""2p5.3p.(3S<1>).16p""","=""2[1]*""","=""1/2,3/2""","=""""","=""334213""","=""""","=""11""","=""      2p5.(2P*<3/2>).3p.(3S<1>).16p                                                           ""","="""""
"=""2p5.3p.(3P<1>).4p.(II)""","=""""","=""1/2,3/2""","=""""","=""334616""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).4p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).5p""","=""""","=""1/2,3/2""","=""""","=""336010""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(1D<2>).5p                                                            ""","="""""
"=""2p5.3p.(3P<1>).6p.(I)""","=""""","=""1/2,3/2""","=""""","=""336259""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).6p.(I)                                                        ""","="""""
"=""2p5.3p.(1P<1>).5p""","=""""","=""1/2,3/2""","=""""","=""336723""","=""""","=""9""","=""      2p5.(2P*<1/2>).3p.(1P<1>).5p                                                            ""","="""""
"=""2p5.3p.(3P<1>).5p.(II)""","=""""","=""1/2,3/2""","=""""","=""337257""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).5p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).6p""","=""""","=""1/2,3/2""","=""""","=""337418""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(1D<2>).6p                                                            ""","="""""
"=""2p5.3p.(1P<1>).6p""","=""""","=""1/2,3/2""","=""""","=""338149""","=""""","=""9""","=""      2p5.(2P*<1/2>).3p.(1P<1>).6p                                                            ""","="""""
"=""2p5.3p.(3P<1>).7p.(I)""","=""""","=""1/2,3/2""","=""""","=""338169""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).7p.(I)                                                        ""","="""""
"=""2p5.3p.(1D<2>).7p""","=""""","=""1/2,3/2""","=""""","=""338301""","=""""","=""9""","=""      2p5.(2P*<3/2>).3p.(1D<2>).7p                                                            ""","="""""
"=""2p5.3p.(3P<1>).6p.(II)""","=""""","=""1/2,3/2""","=""""","=""338845""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(3P<1>).6p.(II)                                                       ""","="""""
"=""2p5.3p.(1D<2>).8p""","=""""","=""1/2,3/2""","=""""","=""338857""","=""""","=""11""","=""      2p5.(2P*<3/2>).3p.(1D<2>).8p                                                            ""","="""""
"=""2p5.3p.(1P<1>).7p""","=""""","=""1/2,3/2""","=""""","=""338995""","=""""","=""11""","=""      2p5.(2P*<1/2>).3p.(1P<1>).7p                                                            ""","="""""
"=""2p5.3p.(1D<2>).9p""","=""""","=""1/2,3/2""","=""""","=""339248""","=""""","=""12""","=""      2p5.(2P*<3/2>).3p.(1D<2>).9p                                                            ""","="""""
"=""2p5.3p.(3P<1>).8p.(I)""","=""""","=""1/2,3/2""","=""""","=""339271""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).8p.(I)                                                        ""","="""""
"=""2p5.3p.(1D<2>).10p""","=""""","=""1/2,3/2""","=""""","=""339512""","=""""","=""12""","=""      2p5.(2P*<3/2>).3p.(1D<2>).10p                                                           ""","="""""
"=""2p5.3p.(1P<1>).8p""","=""""","=""1/2,3/2""","=""""","=""339570""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).8p                                                            ""","="""""
"=""2p5.3p.(3P<1>).7p.(II)""","=""""","=""1/2,3/2""","=""""","=""339628""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).7p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).9p""","=""""","=""1/2,3/2""","=""""","=""339928""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).9p                                                            ""","="""""
"=""2p5.3p.(3P<1>).9p.(I)""","=""""","=""1/2,3/2""","=""""","=""339928""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).9p.(I)                                                        ""","="""""
"=""2p5.3p.(3P<1>).8p.(II)""","=""""","=""1/2,3/2""","=""""","=""340171""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).8p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).10p""","=""""","=""1/2,3/2""","=""""","=""340194""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).10p                                                           ""","="""""
"=""2p5.3p.(3P<1>).10p.(I)""","=""""","=""1/2,3/2""","=""""","=""340379""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).10p.(I)                                                       ""","="""""
"=""2p5.3p.(1P<1>).11p""","=""""","=""1/2,3/2""","=""""","=""340402""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).11p                                                           ""","="""""
"=""2p5.3p.(1P<1>).12p""","=""""","=""1/2,3/2""","=""""","=""340553""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).12p                                                           ""","="""""
"=""2p5.3p.(3P<1>).9p.(II)""","=""""","=""1/2,3/2""","=""""","=""340553""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).9p.(II)                                                       ""","="""""
"=""2p5.3p.(1P<1>).13p""","=""""","=""1/2,3/2""","=""""","=""340669""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).13p                                                           ""","="""""
"=""2p5.3p.(3P<1>).11p.(I)""","=""""","=""1/2,3/2""","=""""","=""340704""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).11p.(I)                                                       ""","="""""
"=""2p5.3p.(1P<1>).14p""","=""""","=""1/2,3/2""","=""""","=""340762""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(1P<1>).14p                                                           ""","="""""
"=""2p5.3p.(3P<1>).10p.(II)""","=""""","=""1/2,3/2""","=""""","=""340820""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).10p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).12p.(I)""","=""""","=""1/2,3/2""","=""""","=""340948""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).12p.(I)                                                       ""","="""""
"=""2p5.3p.(3P<1>).11p.(II)""","=""""","=""1/2,3/2""","=""""","=""341018""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).11p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).13p.(I)""","=""""","=""1/2,3/2""","=""""","=""341111""","=""""","=""12""","=""      2p5.(2P*<1/2>).3p.(3P<1>).13p.(I)                                                       ""","="""""
"=""2p5.3p.(3P<1>).12p.(II)""","=""""","=""1/2,3/2""","=""""","=""341200""","=""""","=""120""","=""      2p5.(2P*<1/2>).3p.(3P<1>).12p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).13p.(II)""","=""""","=""1/2,3/2""","=""""","=""341380""","=""""","=""120""","=""      2p5.(2P*<1/2>).3p.(3P<1>).13p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).14p.(II)""","=""""","=""1/2,3/2""","=""""","=""341410""","=""""","=""120""","=""      2p5.(2P*<1/2>).3p.(3P<1>).14p.(II)                                                      ""","="""""
"=""2p5.3p.(3P<1>).15p.(II)""","=""""","=""1/2,3/2""","=""""","=""341530""","=""""","=""120""","=""      2p5.(2P*<1/2>).3p.(3P<1>).15p.(II)                                                      ""","="""""
"=""2p5.3p.(1S<0>).4p""","=""2[1]*""","=""1/2,3/2""","=""""","=""342614""","=""""","=""9""","=""      2p5.(2P*<1/2>).3p.(1S<0>).4p                                                            ""","="""""
"=""2p5.3p.(1S<0>).5p""","=""2[1]*""","=""1/2,3/2""","=""""","=""345479""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).5p                                                            ""","="""""
"=""2p5.3p.(1S<0>).6p""","=""2[1]*""","=""1/2,3/2""","=""""","=""347026""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).6p                                                            ""","="""""
"=""2p5.3p.(1S<0>).7p""","=""2[1]*""","=""1/2,3/2""","=""""","=""347923""","=""""","=""10""","=""      2p5.(2P*<1/2>).3p.(1S<0>).7p                                                            ""","="""""
