Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s.12g""","=""3G""","=""5""","=""[""","=""197548.690890572""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12g""","=""3G""","=""3""","=""[""","=""197548.691072729""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.12g""","=""1G""","=""4""","=""[""","=""197548.691196066""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12h""","=""3H*""","=""5""","=""[""","=""197548.700397656""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12h""","=""3H*""","=""6""","=""[""","=""197548.700528178""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12h""","=""3H*""","=""4""","=""[""","=""197548.700646639""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12h""","=""1H*""","=""5""","=""[""","=""197548.700735045""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12i""","=""3I""","=""6""","=""[""","=""197548.703546276""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12i""","=""3I""","=""7""","=""[""","=""197548.703637824""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12i""","=""3I""","=""5""","=""[""","=""197548.703721241""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12i""","=""1I""","=""6""","=""[""","=""197548.703787516""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.12p""","=""1P*""","=""1""","=""[""","=""197550.239243971""","=""]""","=""0.000000059""","=""L22715c201"""
"=""1s.13s""","=""3S""","=""1""","=""[""","=""197630.71966197""","=""]""","=""0.00000083""","=""L22715c201"""
"=""1s.13s""","=""1S""","=""0""","=""[""","=""197647.22103015""","=""]""","=""0.00000090""","=""L22715c201"""
"=""1s.13p""","=""3P*""","=""2""","=""[""","=""197654.55132168""","=""]""","=""0.00000032""","=""L22715c201"""
"=""1s.13p""","=""3P*""","=""1""","=""[""","=""197654.55156861""","=""]""","=""0.00000032""","=""L22715c201"""
"=""1s.13p""","=""3P*""","=""0""","=""[""","=""197654.55460503""","=""]""","=""0.00000033""","=""L22715c201"""
"=""1s.13d""","=""3D""","=""3""","=""[""","=""197661.137156976""","=""]""","=""0.000000030""","=""L22715c201"""
"=""1s.13d""","=""3D""","=""2""","=""[""","=""197661.137195356""","=""]""","=""0.000000030""","=""L22715c201"""
"=""1s.13d""","=""3D""","=""1""","=""[""","=""197661.137731423""","=""]""","=""0.000000030""","=""L22715c201"""
"=""1s.13d""","=""1D""","=""2""","=""[""","=""197661.212973716""","=""]""","=""0.000000020""","=""L22715c201"""
"=""1s.13f""","=""3F*""","=""3""","=""[""","=""197661.378500275""","=""]""","=""0.000000009""","=""L22715c201"""
"=""1s.13f""","=""3F*""","=""4""","=""[""","=""197661.378628917""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.13f""","=""3F*""","=""2""","=""[""","=""197661.378879622""","=""]""","=""0.000000005""","=""L22715c201"""
"=""1s.13f""","=""1F*""","=""3""","=""[""","=""197661.379307962""","=""]""","=""0.000000007""","=""L22715c201"""
"=""1s.13g""","=""3G""","=""4""","=""[""","=""197661.409903542""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.13g""","=""3G""","=""5""","=""[""","=""197661.410060646""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13g""","=""3G""","=""3""","=""[""","=""197661.410203915""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.13g""","=""1G""","=""4""","=""[""","=""197661.410300948""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13h""","=""3H*""","=""5""","=""[""","=""197661.417575492""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13h""","=""3H*""","=""6""","=""[""","=""197661.417678150""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13h""","=""3H*""","=""4""","=""[""","=""197661.417771323""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13h""","=""1H*""","=""5""","=""[""","=""197661.417840857""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13i""","=""3I""","=""6""","=""[""","=""197661.420069637""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13i""","=""3I""","=""7""","=""[""","=""197661.420141642""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13i""","=""3I""","=""5""","=""[""","=""197661.420207251""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13i""","=""1I""","=""6""","=""[""","=""197661.420259378""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.13p""","=""1P*""","=""1""","=""[""","=""197662.628889776""","=""]""","=""0.000000050""","=""L22715c201"""
"=""1s.14s""","=""3S""","=""1""","=""[""","=""197726.34122257""","=""]""","=""0.00000069""","=""L22715c201"""
"=""1s.14s""","=""1S""","=""0""","=""[""","=""197739.50383693""","=""]""","=""0.00000076""","=""L22715c201"""
"=""1s.14p""","=""3P*""","=""2""","=""[""","=""197745.35952578""","=""]""","=""0.00000027""","=""L22715c201"""
"=""1s.14p""","=""3P*""","=""1""","=""[""","=""197745.35972319""","=""]""","=""0.00000027""","=""L22715c201"""
"=""1s.14p""","=""3P*""","=""0""","=""[""","=""197745.36215081""","=""]""","=""0.00000028""","=""L22715c201"""
"=""1s.14d""","=""3D""","=""3""","=""[""","=""197750.630253431""","=""]""","=""0.000000026""","=""L22715c201"""
"=""1s.14d""","=""3D""","=""2""","=""[""","=""197750.630284194""","=""]""","=""0.000000026""","=""L22715c201"""
"=""1s.14d""","=""3D""","=""1""","=""[""","=""197750.630713352""","=""]""","=""0.000000027""","=""L22715c201"""
"=""1s.14d""","=""1D""","=""2""","=""[""","=""197750.691167177""","=""]""","=""0.000000018""","=""L22715c201"""
"=""1s.14f""","=""3F*""","=""3""","=""[""","=""197750.823783348""","=""]""","=""0.000000008""","=""L22715c201"""
"=""1s.14f""","=""3F*""","=""4""","=""[""","=""197750.823885526""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.14f""","=""3F*""","=""2""","=""[""","=""197750.824086249""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.14f""","=""1F*""","=""3""","=""[""","=""197750.824432283""","=""]""","=""0.000000007""","=""L22715c201"""
"=""1s.14g""","=""3G""","=""4""","=""[""","=""197750.848987031""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14g""","=""3G""","=""5""","=""[""","=""197750.849112803""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14g""","=""3G""","=""3""","=""[""","=""197750.849227511""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14g""","=""1G""","=""4""","=""[""","=""197750.849305216""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14h""","=""3H*""","=""5""","=""[""","=""197750.855153284""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14h""","=""3H*""","=""6""","=""[""","=""197750.855235478""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14h""","=""3H*""","=""4""","=""[""","=""197750.855310077""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14h""","=""1H*""","=""5""","=""[""","=""197750.855365750""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14i""","=""3I""","=""6""","=""[""","=""197750.857161461""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14i""","=""3I""","=""7""","=""[""","=""197750.857219112""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14i""","=""3I""","=""5""","=""[""","=""197750.857271642""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14i""","=""1I""","=""6""","=""[""","=""197750.857313379""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.14p""","=""1P*""","=""1""","=""[""","=""197751.825621340""","=""]""","=""0.000000042""","=""L22715c201"""
"=""1s.15s""","=""3S""","=""1""","=""[""","=""197803.12318198""","=""]""","=""0.00000058""","=""L22715c201"""
"=""1s.15s""","=""1S""","=""0""","=""[""","=""197813.79035744""","=""]""","=""0.00000064""","=""L22715c201"""
"=""1s.15p""","=""3P*""","=""2""","=""[""","=""197818.54202572""","=""]""","=""0.00000023""","=""L22715c201"""
"=""1s.15p""","=""3P*""","=""1""","=""[""","=""197818.54218600""","=""]""","=""0.00000023""","=""L22715c201"""
"=""1s.15p""","=""3P*""","=""0""","=""[""","=""197818.54415732""","=""]""","=""0.00000024""","=""L22715c201"""
"=""1s.15d""","=""3D""","=""3""","=""[""","=""197822.825686886""","=""]""","=""0.000000023""","=""L22715c201"""
"=""1s.15d""","=""3D""","=""2""","=""[""","=""197822.825711919""","=""]""","=""0.000000023""","=""L22715c201"""
"=""1s.15d""","=""3D""","=""1""","=""[""","=""197822.826060809""","=""]""","=""0.000000023""","=""L22715c201"""
"=""1s.15d""","=""1D""","=""2""","=""[""","=""197822.875350045""","=""]""","=""0.000000016""","=""L22715c201"""
"=""1s.15f""","=""3F*""","=""3""","=""[""","=""197822.983228382""","=""]""","=""0.000000008""","=""L22715c201"""
"=""1s.15f""","=""3F*""","=""4""","=""[""","=""197822.983310921""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.15f""","=""3F*""","=""2""","=""[""","=""197822.983474113""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.15f""","=""1F*""","=""3""","=""[""","=""197822.983757484""","=""]""","=""0.000000006""","=""L22715c201"""
"=""1s.15g""","=""3G""","=""4""","=""[""","=""197823.003759575""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15g""","=""3G""","=""5""","=""[""","=""197823.003861822""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15g""","=""3G""","=""3""","=""[""","=""197823.003955084""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15g""","=""1G""","=""4""","=""[""","=""197823.004018272""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15h""","=""3H*""","=""5""","=""[""","=""197823.008788485""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15h""","=""3H*""","=""6""","=""[""","=""197823.008855312""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15h""","=""3H*""","=""4""","=""[""","=""197823.008915964""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15h""","=""1H*""","=""5""","=""[""","=""197823.008961228""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15i""","=""3I""","=""6""","=""[""","=""197823.010428570""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15i""","=""3I""","=""7""","=""[""","=""197823.010475442""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15i""","=""3I""","=""5""","=""[""","=""197823.010518151""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15i""","=""1I""","=""6""","=""[""","=""197823.010552085""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.15p""","=""1P*""","=""1""","=""[""","=""197823.798226967""","=""]""","=""0.000000036""","=""L22715c201"""
"=""1s.16s""","=""3S""","=""1""","=""[""","=""197865.70830808""","=""]""","=""0.00000049""","=""L22715c201"""
"=""1s.16s""","=""1S""","=""0""","=""[""","=""197874.47304218""","=""]""","=""0.00000055""","=""L22715c201"""
"=""1s.16p""","=""3P*""","=""2""","=""[""","=""197878.38176128""","=""]""","=""0.00000019""","=""L22715c201"""
"=""1s.16p""","=""3P*""","=""1""","=""[""","=""197878.38189321""","=""]""","=""0.00000019""","=""L22715c201"""
"=""1s.16p""","=""3P*""","=""0""","=""[""","=""197878.38351580""","=""]""","=""0.00000020""","=""L22715c201"""
"=""1s.16d""","=""3D""","=""3""","=""[""","=""197881.910183618""","=""]""","=""0.000000021""","=""L22715c201"""
"=""1s.16d""","=""3D""","=""2""","=""[""","=""197881.910204259""","=""]""","=""0.000000021""","=""L22715c201"""
"=""1s.16d""","=""3D""","=""1""","=""[""","=""197881.910491713""","=""]""","=""0.000000021""","=""L22715c201"""
"=""1s.16d""","=""1D""","=""2""","=""[""","=""197881.951197797""","=""]""","=""0.000000014""","=""L22715c201"""
"=""1s.16f""","=""3F*""","=""3""","=""[""","=""197882.040124792""","=""]""","=""0.000000007""","=""L22715c201"""
"=""1s.16f""","=""3F*""","=""4""","=""[""","=""197882.040192442""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.16f""","=""3F*""","=""2""","=""[""","=""197882.040326906""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.16f""","=""1F*""","=""3""","=""[""","=""197882.040561775""","=""]""","=""0.000000006""","=""L22715c201"""
"=""1s.16g""","=""3G""","=""4""","=""[""","=""197882.057068724""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16g""","=""3G""","=""5""","=""[""","=""197882.057152966""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16g""","=""3G""","=""3""","=""[""","=""197882.057229811""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16g""","=""1G""","=""4""","=""[""","=""197882.057281883""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16h""","=""3H*""","=""5""","=""[""","=""197882.061222882""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16h""","=""3H*""","=""6""","=""[""","=""197882.061277946""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16h""","=""3H*""","=""4""","=""[""","=""197882.061327921""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16h""","=""1H*""","=""5""","=""[""","=""197882.061365218""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16i""","=""3I""","=""6""","=""[""","=""197882.062579235""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16i""","=""3I""","=""7""","=""[""","=""197882.062617857""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16i""","=""3I""","=""5""","=""[""","=""197882.062653048""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16i""","=""1I""","=""6""","=""[""","=""197882.062681008""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.16p""","=""1P*""","=""1""","=""[""","=""197882.711980789""","=""]""","=""0.000000031""","=""L22715c201"""
"=""1s.17s""","=""3S""","=""1""","=""[""","=""197917.39252023""","=""]""","=""0.00000042""","=""L22715c201"""
"=""1s.17s""","=""1S""","=""0""","=""[""","=""197924.68161955""","=""]""","=""0.00000047""","=""L22715c201"""
"=""1s.17p""","=""3P*""","=""2""","=""[""","=""197927.93561059""","=""]""","=""0.00000017""","=""L22715c201"""
"=""1s.17p""","=""3P*""","=""1""","=""[""","=""197927.93572047""","=""]""","=""0.00000017""","=""L22715c201"""
"=""1s.17p""","=""3P*""","=""0""","=""[""","=""197927.93707198""","=""]""","=""0.00000017""","=""L22715c201"""
"=""1s.17d""","=""3D""","=""3""","=""[""","=""197930.876375327""","=""]""","=""0.000000018""","=""L22715c201"""
"=""1s.17d""","=""3D""","=""2""","=""[""","=""197930.876392546""","=""]""","=""0.000000018""","=""L22715c201"""
"=""1s.17d""","=""3D""","=""1""","=""[""","=""197930.876632183""","=""]""","=""0.000000018""","=""L22715c201"""
"=""1s.17d""","=""1D""","=""2""","=""[""","=""197930.910633313""","=""]""","=""0.000000013""","=""L22715c201"""
"=""1s.17f""","=""3F*""","=""3""","=""[""","=""197930.984798502""","=""]""","=""0.000000007""","=""L22715c201"""
"=""1s.17f""","=""3F*""","=""4""","=""[""","=""197930.984854654""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.17f""","=""3F*""","=""2""","=""[""","=""197930.984966756""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.17f""","=""1F*""","=""3""","=""[""","=""197930.985163525""","=""]""","=""0.000000005""","=""L22715c201"""
"=""1s.17g""","=""3G""","=""4""","=""[""","=""197930.998943251""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17g""","=""3G""","=""5""","=""[""","=""197930.999013480""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17g""","=""3G""","=""3""","=""[""","=""197930.999077546""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17g""","=""1G""","=""4""","=""[""","=""197930.999120963""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""5""","=""[""","=""197931.002413830""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""6""","=""[""","=""197931.002459737""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17h""","=""3H*""","=""4""","=""[""","=""197931.002501402""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17h""","=""1H*""","=""5""","=""[""","=""197931.002532496""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""6""","=""[""","=""197931.003548060""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""7""","=""[""","=""197931.003580260""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17i""","=""3I""","=""5""","=""[""","=""197931.003609599""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17i""","=""1I""","=""6""","=""[""","=""197931.003632909""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.17p""","=""1P*""","=""1""","=""[""","=""197931.545150819""","=""]""","=""0.000000026""","=""L22715c201"""
"=""1s.18s""","=""3S""","=""1""","=""[""","=""197960.56793919""","=""]""","=""0.00000036""","=""L22715c201"""
"=""1s.18s""","=""1S""","=""0""","=""[""","=""197966.69492260""","=""]""","=""0.00000041""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""2""","=""[""","=""197969.43265746""","=""]""","=""0.00000014""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""1""","=""[""","=""197969.43274994""","=""]""","=""0.00000014""","=""L22715c201"""
"=""1s.18p""","=""3P*""","=""0""","=""[""","=""197969.43388755""","=""]""","=""0.00000015""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""3""","=""[""","=""197971.909331822""","=""]""","=""0.000000016""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""2""","=""[""","=""197971.909346335""","=""]""","=""0.000000016""","=""L22715c201"""
"=""1s.18d""","=""3D""","=""1""","=""[""","=""197971.909548199""","=""]""","=""0.000000016""","=""L22715c201"""
"=""1s.18d""","=""1D""","=""2""","=""[""","=""197971.938236753""","=""]""","=""0.000000011""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""3""","=""[""","=""197972.000733505""","=""]""","=""0.000000006""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""4""","=""[""","=""197972.000780635""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18f""","=""3F*""","=""2""","=""[""","=""197972.000875070""","=""]""","=""0.000000003""","=""L22715c201"""
"=""1s.18f""","=""1F*""","=""3""","=""[""","=""197972.001041510""","=""]""","=""0.000000005""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""4""","=""[""","=""197972.012662388""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""5""","=""[""","=""197972.012721548""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18g""","=""3G""","=""3""","=""[""","=""197972.012775518""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18g""","=""1G""","=""4""","=""[""","=""197972.012812097""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18h""","=""3H*""","=""5""","=""[""","=""197972.015591182""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18h""","=""3H*""","=""6""","=""[""","=""197972.015629855""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18h""","=""3H*""","=""4""","=""[""","=""197972.015664954""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18h""","=""1H*""","=""5""","=""[""","=""197972.015691148""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""6""","=""[""","=""197972.016549103""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""7""","=""[""","=""197972.016576228""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18i""","=""3I""","=""5""","=""[""","=""197972.016600944""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18i""","=""1I""","=""6""","=""[""","=""197972.016620581""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.18p""","=""1P*""","=""1""","=""[""","=""197972.472944010""","=""]""","=""0.000000023""","=""L22715c201"""
"=""1s.19s""","=""3S""","=""1""","=""[""","=""197997.00477300""","=""]""","=""0.00000031""","=""L22715c201"""
"=""1s.19s""","=""1S""","=""0""","=""[""","=""198002.20412415""","=""]""","=""0.00000035""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""2""","=""[""","=""198004.52931033""","=""]""","=""0.00000012""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""1""","=""[""","=""198004.52938891""","=""]""","=""0.00000012""","=""L22715c201"""
"=""1s.19p""","=""3P*""","=""0""","=""[""","=""198004.53035549""","=""]""","=""0.00000013""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""3""","=""[""","=""198006.634620666""","=""]""","=""0.000000014""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""2""","=""[""","=""198006.634633011""","=""]""","=""0.000000014""","=""L22715c201"""
"=""1s.19d""","=""3D""","=""1""","=""[""","=""198006.634804641""","=""]""","=""0.000000014""","=""L22715c201"""
"=""1s.19d""","=""1D""","=""2""","=""[""","=""198006.659230206""","=""]""","=""0.000000010""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""3""","=""[""","=""198006.712382529""","=""]""","=""0.000000005""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""4""","=""[""","=""198006.712422477""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19f""","=""3F*""","=""2""","=""[""","=""198006.712502772""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19f""","=""1F*""","=""3""","=""[""","=""198006.712644780""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""4""","=""[""","=""198006.722534686""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""5""","=""[""","=""198006.722584985""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19g""","=""3G""","=""3""","=""[""","=""198006.722630874""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19g""","=""1G""","=""4""","=""[""","=""198006.722661979""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""5""","=""[""","=""198006.725028623""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""6""","=""[""","=""198006.725061505""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19h""","=""3H*""","=""4""","=""[""","=""198006.725091349""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19h""","=""1H*""","=""5""","=""[""","=""198006.725113621""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""6""","=""[""","=""198006.725844857""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""7""","=""[""","=""198006.725867921""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19i""","=""3I""","=""5""","=""[""","=""198006.725888936""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19i""","=""1I""","=""6""","=""[""","=""198006.725905633""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.19p""","=""1P*""","=""1""","=""[""","=""198007.114003470""","=""]""","=""0.000000020""","=""L22715c201"""
"=""1s.20s""","=""3S""","=""1""","=""[""","=""198028.03571813""","=""]""","=""0.00000027""","=""L22715c201"""
"=""1s.20s""","=""1S""","=""0""","=""[""","=""198032.48563910""","=""]""","=""0.00000031""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""2""","=""[""","=""198034.47719115""","=""]""","=""0.00000011""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""1""","=""[""","=""198034.47725848""","=""]""","=""0.00000011""","=""L22715c201"""
"=""1s.20p""","=""3P*""","=""0""","=""[""","=""198034.47808666""","=""]""","=""0.00000011""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""3""","=""[""","=""198036.281816795""","=""]""","=""0.000000013""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""2""","=""[""","=""198036.281827383""","=""]""","=""0.000000013""","=""L22715c201"""
"=""1s.20d""","=""3D""","=""1""","=""[""","=""198036.281974527""","=""]""","=""0.000000013""","=""L22715c201"""
"=""1s.20d""","=""1D""","=""2""","=""[""","=""198036.302940206""","=""]""","=""0.000000009""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""3""","=""[""","=""198036.348521337""","=""]""","=""0.000000005""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""4""","=""[""","=""198036.348555495""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20f""","=""3F*""","=""2""","=""[""","=""198036.348624337""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20f""","=""1F*""","=""3""","=""[""","=""198036.348746450""","=""]""","=""0.000000004""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""4""","=""[""","=""198036.357232414""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""5""","=""[""","=""198036.357275537""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20g""","=""3G""","=""3""","=""[""","=""198036.357314881""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20g""","=""1G""","=""4""","=""[""","=""198036.357341552""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""5""","=""[""","=""198036.359373341""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""6""","=""[""","=""198036.359401534""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20h""","=""3H*""","=""4""","=""[""","=""198036.359427121""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20h""","=""1H*""","=""5""","=""[""","=""198036.359446217""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""6""","=""[""","=""198036.360074435""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""7""","=""[""","=""198036.360094210""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20i""","=""3I""","=""5""","=""[""","=""198036.360112227""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20i""","=""1I""","=""6""","=""[""","=""198036.360126543""","=""]""","=""0.000000002""","=""L22715c201"""
"=""1s.20p""","=""1P*""","=""1""","=""[""","=""198036.692945787""","=""]""","=""0.000000017""","=""L22715c201"""
"=""1s.21s""","=""3S""","=""1""","=""[""","=""198054.67958552""","=""]""","=""0.00000024""","=""L22715c201"""
"=""1s.21s""","=""1S""","=""0""","=""[""","=""198058.51746024""","=""]""","=""0.00000027""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""2""","=""[""","=""198060.236286980""","=""]""","=""0.000000096""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""1""","=""[""","=""198060.236345101""","=""]""","=""0.000000096""","=""L22715c201"""
"=""1s.21p""","=""3P*""","=""0""","=""[""","=""198060.23706011""","=""]""","=""0.00000010""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""3""","=""[""","=""198061.794862646""","=""]""","=""0.000000011""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""2""","=""[""","=""198061.794871796""","=""]""","=""0.000000011""","=""L22715c201"""
"=""1s.21d""","=""3D""","=""1""","=""[""","=""198061.794998900""","=""]""","=""0.000000011""","=""L22715c201"""
"=""1s.21d""","=""1D""","=""2""","=""[""","=""198061.813127526""","=""]""","=""0.000000008""","=""L22715c201"""
"=""1s.21f""","=""3F*""","=""3""","=""[""","=""198061.852509380""","=""]""","=""0.000000004""","=""L22715c201"""
