transition_id,transition_label,phase3C_group,group_name,transition_status,transition_family,transition_class,initial_state,final_state,initial_particles,final_particles,initial_total_charge,final_total_charge,charge_balance_error,charge_balance_abs_error,charge_balance_code,initial_layer_signature,final_layer_signature,layer_transition_code,layer_transition_label,initial_route_signature,final_route_signature,route_transition_code,route_transition_label,initial_closure_signature,final_closure_signature,closure_transition_code,closure_transition_label,initial_category_signature,final_category_signature,category_transition_code,category_transition_label,transition_family_code,transition_class_code,transition_status_code,boundary_response_code,initial_multiplicity,final_multiplicity,multiplicity_delta,initial_charged_multiplicity,final_charged_multiplicity,charged_multiplicity_delta,initial_neutral_multiplicity,final_neutral_multiplicity,neutral_multiplicity_delta,initial_composite_count,final_composite_count,composite_count_delta,initial_external_count,final_external_count,external_count_delta,initial_fractional_external_count,final_fractional_external_count,fractional_external_count_delta,electric_charge_violation_flag,free_fractional_externalization_flag,selection_violation_flag,route_incoherence_flag,constrained_flag,boundary_candidate_flag,forbidden_flag,allowed_control_flag,boundary_pressure_index,route_charge_consistency_code,closure_charge_consistency_code,allowed_vs_forbidden_code,expected_boundary_response,expected_chamber_behavior,source_basis,source_reference,notes
P3C_D005,pi0_to_neutrino_antineutrino_constrained,D,selection_rule_violation,forbidden_mock,neutral_meson_boundary,charge_preserving_selection_violation,pi0,nu_e + anti_neutrino_e,pi0,nu_e|anti_neutrino_e,0.0,0.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_neutral_closure:1,free_neutral_closure:2,11,composite_neutral_closure:1__to__free_neutral_closure:2,meson:1,neutrino:2,27,meson:1__to__neutrino:2,12,2,2,5,1,2,1,0,0,0,1,2,1,1,0,-1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,pi0_to_neutrino_antineutrino_constrained
P3C_D006,tau_minus_to_mu_minus_gamma_lfv,D,selection_rule_violation,forbidden_mock,lepton_flavor_violation,charge_preserving_selection_violation,tau_minus,mu_minus + gamma,tau_minus,mu_minus|gamma,-1.0,-1.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,lepton:1,lepton:1|photon:1,21,lepton:1__to__lepton:1|photon:1,10,2,2,5,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,tau_minus_to_mu_minus_gamma_lfv
P3C_D007,lambda0_to_gamma_gamma_baryon_violation,D,selection_rule_violation,forbidden_mock,baryon_number_violation,charge_preserving_selection_violation,Lambda0,gamma + gamma,Lambda0,gamma|gamma,0.0,0.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_neutral_closure:1,free_neutral_closure:2,11,composite_neutral_closure:1__to__free_neutral_closure:2,baryon:1,photon:2,7,baryon:1__to__photon:2,1,2,2,5,1,2,1,0,0,0,1,2,1,1,0,-1,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,lambda0_to_gamma_gamma_baryon_violation
P3C_D008,z0_to_gamma_gamma_selection_boundary,D,selection_rule_violation,forbidden_mock,gauge_boson_boundary,charge_preserving_selection_violation,Z0,gamma + gamma,Z0,gamma|gamma,0.0,0.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_neutral_closure:1,free_neutral_closure:2,23,free_neutral_closure:1__to__free_neutral_closure:2,gauge_boson:1,photon:2,16,gauge_boson:1__to__photon:2,7,2,2,5,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0.75,4,3,5,selection_boundary,boundary_selection_violation,known_forbidden_or_constrained,PDG_RPP_2026_or_mock_control,z0_to_gamma_gamma_selection_boundary
P3C_E001,positron_to_proton_antineutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,positron,proton + anti_neutron,positron,proton|anti_neutron,1.0,1.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_integer_closure:1,composite_integer_closure:1|composite_neutral_closure:1,14,free_integer_closure:1__to__composite_integer_closure:1|composite_neutral_closure:1,lepton:1,anti_baryon:1|baryon:1,19,lepton:1__to__anti_baryon:1|baryon:1,15,6,3,4,1,2,1,1,1,0,0,1,1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,positron_to_proton_antineutron_route_incoherent
P3C_E002,photon_to_proton_antiproton_route_mock,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,gamma,proton + anti_proton,gamma,proton|anti_proton,0.0,0.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_neutral_closure:1,composite_integer_closure:2,19,free_neutral_closure:1__to__composite_integer_closure:2,photon:1,anti_baryon:1|baryon:1,30,photon:1__to__anti_baryon:1|baryon:1,15,6,3,4,1,2,1,0,2,2,1,0,-1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,photon_to_proton_antiproton_route_mock
P3C_E003,w_plus_to_pi_plus_neutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,W_plus,pi_plus + neutron,W_plus,pi_plus|neutron,1.0,1.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_integer_closure:1,composite_integer_closure:1|composite_neutral_closure:1,14,free_integer_closure:1__to__composite_integer_closure:1|composite_neutral_closure:1,gauge_boson:1,baryon:1|meson:1,13,gauge_boson:1__to__baryon:1|meson:1,15,6,3,4,1,2,1,1,1,0,0,1,1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,w_plus_to_pi_plus_neutron_route_incoherent
P3C_E004,mu_plus_to_pi_plus_gamma_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,mu_plus,pi_plus + gamma,mu_plus,pi_plus|gamma,1.0,1.0,0.0,0.0,0,A:1,A:1|C:1,1,A:1__to__A:1|C:1,external_closure:1,composite_closure:1|external_closure:1,6,external_closure:1__to__composite_closure:1|external_closure:1,free_integer_closure:1,composite_integer_closure:1|free_neutral_closure:1,15,free_integer_closure:1__to__composite_integer_closure:1|free_neutral_closure:1,lepton:1,meson:1|photon:1,22,lepton:1__to__meson:1|photon:1,15,6,3,4,1,2,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,mu_plus_to_pi_plus_gamma_route_incoherent
P3C_E005,neutrino_to_photon_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,nu_e,gamma,nu_e,gamma,0.0,0.0,0.0,0.0,0,A:1,A:1,0,A:1__to__A:1,external_closure:1,external_closure:1,8,external_closure:1__to__external_closure:1,free_neutral_closure:1,free_neutral_closure:1,22,free_neutral_closure:1__to__free_neutral_closure:1,neutrino:1,photon:1,29,neutrino:1__to__photon:1,15,6,3,4,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,neutrino_to_photon_route_incoherent
P3C_E006,electron_to_pi_minus_pi0_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,electron_minus,pi_minus + pi0,electron_minus,pi_minus|pi0,-1.0,-1.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_integer_closure:1,composite_integer_closure:1|composite_neutral_closure:1,14,free_integer_closure:1__to__composite_integer_closure:1|composite_neutral_closure:1,lepton:1,meson:2,23,lepton:1__to__meson:2,15,6,3,4,1,2,1,1,1,0,0,1,1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,electron_to_pi_minus_pi0_route_incoherent
P3C_E007,z0_to_neutron_antineutron_route_incoherent,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,Z0,neutron + anti_neutron,Z0,neutron|anti_neutron,0.0,0.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_neutral_closure:1,composite_neutral_closure:2,20,free_neutral_closure:1__to__composite_neutral_closure:2,gauge_boson:1,anti_baryon:1|baryon:1,12,gauge_boson:1__to__anti_baryon:1|baryon:1,15,6,3,4,1,2,1,0,0,0,1,2,1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,z0_to_neutron_antineutron_route_incoherent
P3C_E008,higgs_to_proton_antiproton_route_mock,E,route_incoherent_charge_conserving_mock,route_incoherent_mock,route_incoherent_mock,route_scrambled_mock,Higgs,proton + anti_proton,Higgs,proton|anti_proton,0.0,0.0,0.0,0.0,0,A:1,C:2,4,A:1__to__C:2,external_closure:1,composite_closure:2,7,external_closure:1__to__composite_closure:2,free_neutral_closure:1,composite_integer_closure:2,19,free_neutral_closure:1__to__composite_integer_closure:2,higgs:1,anti_baryon:1|baryon:1,17,higgs:1__to__anti_baryon:1|baryon:1,15,6,3,4,1,2,1,0,2,2,1,0,-1,0,2,2,1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0.75,2,4,4,route_incoherence_boundary,unstable_route_incoherence,route_scrambled_control,mock_constructed_for_control,higgs_to_proton_antiproton_route_mock
P3C_F001,proton_decay_to_positron_pi0_constrained,F,constrained_boundary_case,constrained_unconfirmed,constrained_search_boundary,baryon_number_violation,proton,positron + pi0,proton,positron|pi0,1.0,1.0,0.0,0.0,0,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_neutral_closure:1|free_integer_closure:1,3,composite_integer_closure:1__to__composite_neutral_closure:1|free_integer_closure:1,baryon:1,lepton:1|meson:1,4,baryon:1__to__lepton:1|meson:1,5,0,1,2,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1.75,5,5,2,constrained_boundary,transitional_constrained_case,search_upper_bound,PDG_RPP_2026_search_bound,proton_decay_to_positron_pi0_constrained
P3C_F002,proton_decay_to_mu_plus_pi0_constrained,F,constrained_boundary_case,constrained_unconfirmed,constrained_search_boundary,baryon_number_violation,proton,mu_plus + pi0,proton,mu_plus|pi0,1.0,1.0,0.0,0.0,0,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_neutral_closure:1|free_integer_closure:1,3,composite_integer_closure:1__to__composite_neutral_closure:1|free_integer_closure:1,baryon:1,lepton:1|meson:1,4,baryon:1__to__lepton:1|meson:1,5,0,1,2,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1.75,5,5,2,constrained_boundary,transitional_constrained_case,search_upper_bound,PDG_RPP_2026_search_bound,proton_decay_to_mu_plus_pi0_constrained
P3C_F003,proton_decay_to_antineutrino_kplus_constrained,F,constrained_boundary_case,constrained_unconfirmed,constrained_search_boundary,baryon_number_violation,proton,anti_neutrino_e + K_plus,proton,anti_neutrino_e|K_plus,1.0,1.0,0.0,0.0,0,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_integer_closure:1|free_neutral_closure:1,1,composite_integer_closure:1__to__composite_integer_closure:1|free_neutral_closure:1,baryon:1,neutrino:1|strange_meson:1,6,baryon:1__to__neutrino:1|strange_meson:1,5,0,1,2,1,2,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1.75,5,5,2,constrained_boundary,transitional_constrained_case,search_upper_bound,PDG_RPP_2026_search_bound,proton_decay_to_antineutrino_kplus_constrained
P3C_F004,mu_minus_to_electron_gamma_constrained,F,constrained_boundary_case,constrained_unconfirmed,constrained_search_boundary,lepton_flavor_violation,mu_minus,electron_minus + gamma,mu_minus,electron_minus|gamma,-1.0,-1.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,lepton:1,lepton:1|photon:1,21,lepton:1__to__lepton:1|photon:1,5,5,1,2,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,1,0,1,1,1,0,1.75,5,5,2,constrained_boundary,transitional_constrained_case,search_upper_bound,PDG_RPP_2026_search_bound,mu_minus_to_electron_gamma_constrained
