transition_id,transition_name,phase,batch,transition_family,initial_objects,final_objects,initial_symbols,final_symbols,initial_Q_sum,final_Q_sum,charge_balance_error,charge_conserved,initial_layers,final_layers,layer_transition,initial_route_classes,final_route_classes,route_transition,initial_closure_classes,final_closure_classes,closure_transition,initial_categories,final_categories,category_transition,initial_multiplicity,final_multiplicity,charged_initial_count,charged_final_count,neutral_initial_count,neutral_final_count,charged_multiplicity_delta,neutral_multiplicity_delta,composite_initial_count,composite_final_count,external_initial_count,external_final_count,composite_count_delta,externalization_delta,boundary_preservation_code,boundary_route_preserved,transition_class,source_file,source_note,notes
T027,xi_zero_to_lambda_pion_zero,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,xi_zero,lambda_zero;pi_zero,Xi0,Lambda0;pi0,0.0,0.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_NEUTRAL_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,0,0,1,2,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Xi0 -> Lambda0 + pi0.,Neutral cascade baryon routes into neutral baryon plus neutral meson.
T028,omega_minus_to_lambda_kaon_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_decay,omega_minus,lambda_zero;k_minus,Omega-,Lambda0;K-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Omega- -> Lambda0 + K-.,Negative omega baryon routes into neutral baryon plus negative kaon.
T029,delta_plus_plus_to_proton_pion_plus,Phase 3B,expanded_allowed_transition_corpus,baryon_resonance_decay,delta_plus_plus,proton;pi_plus,Delta++,p;pi+,2.0,2.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_INTEGER_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_INTEGER_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,2,0,0,1,0,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Delta++ -> p + pi+.,Doubly charged baryon resonance routes into two positive composite closures.
T030,delta_minus_to_neutron_pion_minus,Phase 3B,expanded_allowed_transition_corpus,baryon_resonance_decay,delta_minus,neutron;pi_minus,Delta-,n;pi-,-1.0,-1.0,0.0,TRUE,C,C;C,C->C;C,COMPOSITE_INTEGER_ROUTE,COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_ROUTE->COMPOSITE_NEUTRAL_ROUTE;COMPOSITE_INTEGER_ROUTE,COMPOSITE_INTEGER_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,COMPOSITE_INTEGER_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;COMPOSITE_INTEGER_CLOSURE,baryon,baryon;meson,baryon->baryon;meson,1,2,1,1,0,1,0,1,1,2,0,0,1,0,1,TRUE,COMPOSITE_TO_COMPOSITES,rpp2026-sum-baryons.pdf; rpp2026-sum-mesons.pdf,Delta- -> n + pi-.,Negative baryon resonance routes into neutral baryon plus negative pion.
T031,w_minus_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,w_minus,muon_minus;muon_antineutrino,W-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> mu- + anti_nu_mu.,External charged gauge closure routes into muon channel.
T032,w_plus_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,w_plus,muon_plus;muon_neutrino,W+,mu+;nu_mu,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> mu+ + nu_mu.,Charge-conjugate W muon channel.
T033,w_minus_tauonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,w_minus,tau_minus;tau_antineutrino,W-,tau-;anti_nu_tau,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> tau- + anti_nu_tau.,External charged gauge closure routes into tau channel.
T034,w_plus_tauonic_decay,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,w_plus,tau_plus;tau_neutrino,W+,tau+;nu_tau,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> tau+ + nu_tau.,Charge-conjugate W tau channel.
T035,z_to_electron_pair,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,z_boson,electron;positron,Z,e-;e+,0.0,0.0,0.0,TRUE,A,A;A,A->A;A,FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_ROUTE->FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,FREE_NEUTRAL_CLOSURE->FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,0,2,1,0,2,-1,0,0,1,2,0,1,1,TRUE,NEUTRAL_EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,Z -> e- + e+.,Neutral gauge closure routes into opposite-charge external lepton pair.
T036,z_to_muon_pair,Phase 3B,expanded_allowed_transition_corpus,w_z_mediated_channel,z_boson,muon_minus;muon_plus,Z,mu-;mu+,0.0,0.0,0.0,TRUE,A,A;A,A->A;A,FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_ROUTE->FREE_INTEGER_ROUTE;FREE_INTEGER_ROUTE,FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,FREE_NEUTRAL_CLOSURE->FREE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,0,2,1,0,2,-1,0,0,1,2,0,1,1,TRUE,NEUTRAL_EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,Z -> mu- + mu+.,Neutral gauge closure routes into opposite-charge muon pair.
T037,sigma_zero_radiative_decay,Phase 3B,expanded_allowed_transition_corpus,radiative_decay,sigma_zero,lambda_zero;photon,Sigma0,Lambda0;gamma,0.0,0.0,0.0,TRUE,C,C;A,C->C;A,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,baryon,baryon;gauge_boson,baryon->baryon;gauge_boson,1,2,0,0,1,2,0,1,1,1,0,1,0,1,1,TRUE,COMPOSITE_TO_COMPOSITE_PLUS_RADIATION,rpp2026-sum-baryons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,Sigma0 -> Lambda0 + gamma.,Neutral baryon closure routes into neutral baryon plus radiation closure.
T038,eta_prime_radiative_decay,Phase 3B,expanded_allowed_transition_corpus,radiative_decay,eta_prime,rho_zero;photon,eta_prime,rho0;gamma,0.0,0.0,0.0,TRUE,C,C;A,C->C;A,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,meson;gauge_boson,meson->meson;gauge_boson,1,2,0,0,1,2,0,1,1,1,0,1,0,1,1,TRUE,NEUTRAL_COMPOSITE_TO_COMPOSITE_PLUS_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,eta_prime -> rho0 + gamma.,Neutral meson routes into neutral vector meson plus radiation closure.
