Configuration,Term,J,g,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""3p6.4s.22p""","=""1P*""","=""1""",3,"=""""","=""49034.98""","=""""","=""""","=""L7185"""
"=""3p6.4s.21d""","=""3D""","=""2""",5,"=""""","=""49036.40""","=""""","=""""","=""L7185"""
"=""3p6.4s.23s""","=""3S""","=""1""",3,"=""""","=""49046.22""","=""""","=""""","=""L7185"""
"=""3p6.4s.23s""","=""1S""","=""0""",1,"=""""","=""49048.85""","=""""","=""""","=""L7185"""
"=""3p6.4s.21f""","=""1F*""","=""3""",7,"=""""","=""49054.80""","=""""","=""""","=""L7185"""
"=""3p6.4s.22d""","=""1D""","=""2""",5,"=""""","=""49055.62""","=""""","=""""","=""L7185"""
"=""3p6.4s.23p""","=""3P*""","=""2""",5,"=""""","=""49058.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.23p""","=""1P*""","=""1""",3,"=""""","=""49060.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.22d""","=""3D""","=""2""",5,"=""""","=""49061.23""","=""""","=""""","=""L7185"""
"=""3p6.4s.24s""","=""3S""","=""1""",3,"=""""","=""49069.82""","=""""","=""""","=""L7185"""
"=""3p6.4s.24s""","=""1S""","=""0""",1,"=""""","=""49071.99""","=""""","=""""","=""L7185"""
"=""3p6.4s.22f""","=""1F*""","=""3""",7,"=""""","=""49077.20""","=""""","=""""","=""L7185"""
"=""3p6.4s.23d""","=""1D""","=""2""",5,"=""""","=""49077.48""","=""""","=""""","=""L7185"""
"=""3p6.4s.24p""","=""3P*""","=""2""",5,"=""""","=""49080.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.24p""","=""1P*""","=""1""",3,"=""""","=""49081.75""","=""""","=""""","=""L7185"""
"=""3p6.4s.23d""","=""3D""","=""2""",5,"=""""","=""49082.83""","=""""","=""""","=""L7185"""
"=""3p6.4s.25s""","=""3S""","=""1""",3,"=""""","=""49090.40""","=""""","=""""","=""L7185"""
"=""3p6.4s.25s""","=""1S""","=""0""",1,"=""""","=""49092.19""","=""""","=""""","=""L7185"""
"=""3p6.4s.24d""","=""1D""","=""2""",5,"=""""","=""49096.52""","=""""","=""""","=""L7185"""
"=""3p6.4s.23f""","=""1F*""","=""3""",7,"=""""","=""49096.74""","=""""","=""""","=""L7185"""
"=""3p6.4s.25p""","=""3P*""","=""2""",5,"=""""","=""49099.25""","=""""","=""""","=""L7185"""
"=""3p6.4s.25p""","=""1P*""","=""1""",3,"=""""","=""49100.72""","=""""","=""""","=""L7185"""
"=""3p6.4s.24d""","=""3D""","=""2""",5,"=""""","=""49101.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.26s""","=""3S""","=""1""",3,"=""""","=""49108.15""","=""""","=""""","=""L7185"""
"=""3p6.4s.26s""","=""1S""","=""0""",1,"=""""","=""49109.85""","=""""","=""""","=""L7185"""
"=""3p6.4s.25d""","=""1D""","=""2""",5,"=""""","=""49113.41""","=""""","=""""","=""L7185"""
"=""3p6.4s.24f""","=""1F*""","=""3""",7,"=""""","=""49113.85""","=""""","=""""","=""L7185"""
"=""3p6.4s.26p""","=""3P*""","=""2""",5,"=""""","=""49116.07""","=""""","=""""","=""L7185"""
"=""3p6.4s.26p""","=""1P*""","=""1""",3,"=""""","=""49117.38""","=""""","=""""","=""L7185"""
"=""3p6.4s.25d""","=""3D""","=""2""",5,"=""""","=""49118.24""","=""""","=""""","=""L7185"""
"=""3p6.4s.27s""","=""3S""","=""1""",3,"=""""","=""49124.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.27s""","=""1S""","=""0""",1,"=""""","=""49125.44""","=""""","=""""","=""L7185"""
"=""3p6.4s.26d""","=""1D""","=""2""",5,"=""""","=""49128.34""","=""""","=""""","=""L7185"""
"=""3p6.4s.25f""","=""1F*""","=""3""",7,"=""""","=""49129.00""","=""""","=""""","=""L7185"""
"=""3p6.4s.27p""","=""3P*""","=""2""",5,"=""""","=""49130.94""","=""""","=""""","=""L7185"""
"=""3p6.4s.27p""","=""1P*""","=""1""",3,"=""""","=""49132.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.26d""","=""3D""","=""2""",5,"=""""","=""49132.77""","=""""","=""""","=""L7185"""
"=""3p6.4s.28s""","=""3S""","=""1""",3,"=""""","=""49138.06""","=""""","=""""","=""L7185"""
"=""3p6.4s.28s""","=""1S""","=""0""",1,"=""""","=""49139.31""","=""""","=""""","=""L7185"""
"=""3p6.4s.27d""","=""1D""","=""2""",5,"=""""","=""49141.63""","=""""","=""""","=""L7185"""
"=""3p6.4s.26f""","=""1F*""","=""3""",7,"=""""","=""49142.38""","=""""","=""""","=""L7185"""
"=""3p6.4s.28p""","=""3P*""","=""2""",5,"=""""","=""49144.19""","=""""","=""""","=""L7185"""
"=""3p6.4s.28p""","=""1P*""","=""1""",3,"=""""","=""49145.15""","=""""","=""""","=""L7185"""
"=""3p6.4s.27d""","=""3D""","=""2""",5,"=""""","=""49145.66""","=""""","=""""","=""L7185"""
"=""3p6.4s.29s""","=""3S""","=""1""",3,"=""""","=""49150.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.29s""","=""1S""","=""0""",1,"=""""","=""49151.59""","=""""","=""""","=""L7185"""
"=""3p6.4s.28d""","=""1D""","=""2""",5,"=""""","=""49153.49""","=""""","=""""","=""L7185"""
"=""3p6.4s.27f""","=""1F*""","=""3""",7,"=""""","=""49154.29""","=""""","=""""","=""L7185"""
"=""3p6.4s.29p""","=""3P*""","=""2""",5,"=""""","=""49155.90""","=""""","=""""","=""L7185"""
"=""3p6.4s.29p""","=""1P*""","=""1""",3,"=""""","=""49156.78""","=""""","=""""","=""L7185"""
"=""3p6.4s.28d""","=""3D""","=""2""",5,"=""""","=""49157.39""","=""""","=""""","=""L7185"""
"=""3p6.4s.30s""","=""3S""","=""1""",3,"=""""","=""49161.54""","=""""","=""""","=""L7185"""
"=""3p6.4s.30s""","=""1S""","=""0""",1,"=""""","=""49162.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.29d""","=""1D""","=""2""",5,"=""""","=""49164.12""","=""""","=""""","=""L7185"""
"=""3p6.4s.28f""","=""1F*""","=""3""",7,"=""""","=""49164.99""","=""""","=""""","=""L7185"""
"=""3p6.4s.30p""","=""3P*""","=""2""",5,"=""""","=""49166.43""","=""""","=""""","=""L7185"""
"=""3p6.4s.30p""","=""1P*""","=""1""",3,"=""""","=""49167.20""","=""""","=""""","=""L7185"""
"=""3p6.4s.29d""","=""3D""","=""2""",5,"=""""","=""49167.55""","=""""","=""""","=""L7185"""
"=""3p6.4s.31s""","=""3S""","=""1""",3,"=""""","=""49171.42""","=""""","=""""","=""L7185"""
"=""3p6.4s.31s""","=""1S""","=""0""",1,"=""""","=""49172.43""","=""""","=""""","=""L7185"""
"=""3p6.4s.30d""","=""1D""","=""2""",5,"=""""","=""49173.70""","=""""","=""""","=""L7185"""
"=""3p6.4s.31p""","=""3P*""","=""2""",5,"=""""","=""49175.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.31p""","=""1P*""","=""1""",3,"=""""","=""49176.58""","=""""","=""""","=""L7185"""
"=""3p6.4s.30d""","=""3D""","=""2""",5,"=""""","=""49177.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.32s""","=""3S""","=""1""",3,"=""""","=""49180.48""","=""""","=""""","=""L7185"""
"=""3p6.4s.32s""","=""1S""","=""0""",1,"=""""","=""49181.49""","=""""","=""""","=""L7185"""
"=""3p6.4s.31d""","=""1D""","=""2""",5,"=""""","=""49182.36""","=""""","=""""","=""L7185"""
"=""3p6.4s.32p""","=""3P*""","=""2""",5,"=""""","=""49184.37""","=""""","=""""","=""L7185"""
"=""3p6.4s.32p""","=""1P*""","=""1""",3,"=""""","=""49185.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.31d""","=""3D""","=""2""",5,"=""""","=""49185.24""","=""""","=""""","=""L7185"""
"=""3p6.4s.33s""","=""3S""","=""1""",3,"=""""","=""49188.37""","=""""","=""""","=""L7185"""
"=""3p6.4s.32d""","=""1D""","=""2""",5,"=""""","=""49190.17""","=""""","=""""","=""L7185"""
"=""3p6.4s.33p""","=""3P*""","=""2""",5,"=""""","=""49192.08""","=""""","=""""","=""L7185"""
"=""3p6.4s.33p""","=""1P*""","=""1""",3,"=""""","=""49192.68""","=""""","=""""","=""L7185"""
"=""3p6.4s.32d""","=""3D""","=""2""",5,"=""""","=""49193.06""","=""""","=""""","=""L7185"""
"=""3p6.4s.34s""","=""3S""","=""1""",3,"=""""","=""49195.64""","=""""","=""""","=""L7185"""
"=""3p6.4s.33d""","=""1D""","=""2""",5,"=""""","=""49197.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.34p""","=""3P*""","=""2""",5,"=""""","=""49199.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.34p""","=""1P*""","=""1""",3,"=""""","=""49199.62""","=""""","=""""","=""L7185"""
"=""3p6.4s.33d""","=""3D""","=""2""",5,"=""""","=""49199.93""","=""""","=""""","=""L7185"""
"=""3p6.4s.35s""","=""3S""","=""1""",3,"=""""","=""49202.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.34d""","=""1D""","=""2""",5,"=""""","=""49203.78""","=""""","=""""","=""L7185"""
"=""3p6.4s.35p""","=""3P*""","=""2""",5,"=""""","=""49205.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.35p""","=""1P*""","=""1""",3,"=""""","=""49205.95""","=""""","=""""","=""L7185"""
"=""3p6.4s.34d""","=""3D""","=""2""",5,"=""""","=""49206.17""","=""""","=""""","=""L7185"""
"=""3p6.4s.36s""","=""3S""","=""1""",3,"=""""","=""49208.53""","=""""","=""""","=""L7185"""
"=""3p6.4s.35d""","=""1D""","=""2""",5,"=""""","=""49209.68""","=""""","=""""","=""L7185"""
"=""3p6.4s.36p""","=""3P*""","=""2""",5,"=""""","=""49211.34""","=""""","=""""","=""L7185"""
"=""3p6.4s.36p""","=""1P*""","=""1""",3,"=""""","=""49211.72""","=""""","=""""","=""L7185"""
"=""3p6.4s.35d""","=""3D""","=""2""",5,"=""""","=""49212.01""","=""""","=""""","=""L7185"""
"=""3p6.4s.36d""","=""1D""","=""2""",5,"=""""","=""49215.11""","=""""","=""""","=""L7185"""
"=""3p6.4s.37p""","=""3P*""","=""2""",5,"=""""","=""49216.61""","=""""","=""""","=""L7185"""
"=""3p6.4s.37p""","=""1P*""","=""1""",3,"=""""","=""49217.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.36d""","=""3D""","=""2""",5,"=""""","=""49217.18""","=""""","=""""","=""L7185"""
"=""3p6.4s.37d""","=""1D""","=""2""",5,"=""""","=""49220.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.38p""","=""3P*""","=""2""",5,"=""""","=""49221.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.38p""","=""1P*""","=""1""",3,"=""""","=""49221.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.37d""","=""3D""","=""2""",5,"=""""","=""49222.06""","=""""","=""""","=""L7185"""
"=""3p6.4s.38d""","=""1D""","=""2""",5,"=""""","=""49224.70""","=""""","=""""","=""L7185"""
"=""3p6.4s.39p""","=""3P*""","=""2""",5,"=""""","=""49226.02""","=""""","=""""","=""L7185"""
"=""3p6.4s.39p""","=""1P*""","=""1""",3,"=""""","=""49226.35""","=""""","=""""","=""L7185"""
"=""3p6.4s.38d""","=""3D""","=""2""",5,"=""""","=""49226.56""","=""""","=""""","=""L7185"""
"=""3p6.4s.39d""","=""1D""","=""2""",5,"=""""","=""49228.92""","=""""","=""""","=""L7185"""
"=""3p6.4s.40p""","=""3P*""","=""2""",5,"=""""","=""49230.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.40p""","=""1P*""","=""1""",3,"=""""","=""49230.45""","=""""","=""""","=""L7185"""
"=""3p6.4s.39d""","=""3D""","=""2""",5,"=""""","=""49230.54""","=""""","=""""","=""L7185"""
"=""3p6.4s.40d""","=""1D""","=""2""",5,"=""""","=""49232.81""","=""""","=""""","=""L7185"""
"=""3p6.4s.41p""","=""3P*""","=""2""",5,"=""""","=""49234.00""","=""""","=""""","=""L7185"""
"=""3p6.4s.41p""","=""1P*""","=""1""",3,"=""""","=""49234.28""","=""""","=""""","=""L7185"""
"=""3p6.4s.40d""","=""3D""","=""2""",5,"=""""","=""49234.47""","=""""","=""""","=""L7185"""
"=""3p6.4s.41d""","=""1D""","=""2""",5,"=""""","=""49236.45""","=""""","=""""","=""L7185"""
"=""3p6.4s.42p""","=""3P*""","=""2""",5,"=""""","=""49237.55""","=""""","=""""","=""L7185"""
"=""3p6.4s.42p""","=""1P*""","=""1""",3,"=""""","=""49237.82""","=""""","=""""","=""L7185"""
"=""3p6.4s.41d""","=""3D""","=""2""",5,"=""""","=""49237.82""","=""""","=""""","=""L7185"""
"=""3p6.4s.42d""","=""1D""","=""2""",5,"=""""","=""49239.80""","=""""","=""""","=""L7185"""
"=""3p6.4s.43p""","=""3P*""","=""2""",5,"=""""","=""49240.81""","=""""","=""""","=""L7185"""
"=""3p6.4s.43p""","=""1P*""","=""1""",3,"=""""","=""49241.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.42d""","=""3D""","=""2""",5,"=""""","=""49241.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.43d""","=""1D""","=""2""",5,"=""""","=""49242.93""","=""""","=""""","=""L7185"""
"=""3p6.4s.44p""","=""3P*""","=""2""",5,"=""""","=""49243.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.44p""","=""1P*""","=""1""",3,"=""""","=""49244.13""","=""""","=""""","=""L7185"""
"=""3p6.4s.43d""","=""3D""","=""2""",5,"=""""","=""49244.26""","=""""","=""""","=""L7185"""
"=""3p6.4s.44d""","=""1D""","=""2""",5,"=""""","=""49245.80""","=""""","=""""","=""L7185"""
"=""3p6.4s.45p""","=""3P*""","=""2""",5,"=""""","=""49246.74""","=""""","=""""","=""L7185"""
"=""3p6.4s.45p""","=""1P*""","=""1""",3,"=""""","=""49246.98""","=""""","=""""","=""L7185"""
"=""3p6.4s.44d""","=""3D""","=""2""",5,"=""""","=""49247.04""","=""""","=""""","=""L7185"""
"=""3p6.4s.45d""","=""1D""","=""2""",5,"=""""","=""49248.52""","=""""","=""""","=""L7185"""
"=""3p6.4s.46p""","=""3P*""","=""2""",5,"=""""","=""49249.37""","=""""","=""""","=""L7185"""
"=""3p6.4s.45d""","=""3D""","=""2""",5,"=""""","=""49249.56""","=""""","=""""","=""L7185"""
"=""3p6.4s.46p""","=""1P*""","=""1""",3,"=""""","=""49249.61""","=""""","=""""","=""L7185"""
"=""3p6.4s.46d""","=""1D""","=""2""",5,"=""""","=""49251.05""","=""""","=""""","=""L7185"""
"=""3p6.4s.47p""","=""3P*""","=""2""",5,"=""""","=""49251.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.47p""","=""1P*""","=""1""",3,"=""""","=""49252.08""","=""""","=""""","=""L7185"""
"=""3p6.4s.46d""","=""3D""","=""2""",5,"=""""","=""49252.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.47d""","=""1D""","=""2""",5,"=""""","=""49253.40""","=""""","=""""","=""L7185"""
"=""3p6.4s.48p""","=""3P*""","=""2""",5,"=""""","=""49254.22""","=""""","=""""","=""L7185"""
"=""3p6.4s.48p""","=""1P*""","=""1""",3,"=""""","=""49254.41""","=""""","=""""","=""L7185"""
"=""3p6.4s.47d""","=""3D""","=""2""",5,"=""""","=""49254.43""","=""""","=""""","=""L7185"""
"=""3p6.4s.48d""","=""1D""","=""2""",5,"=""""","=""49255.64""","=""""","=""""","=""L7185"""
"=""3p6.4s.49p""","=""3P*""","=""2""",5,"=""""","=""49256.42""","=""""","=""""","=""L7185"""
"=""3p6.4s.48d""","=""3D""","=""2""",5,"=""""","=""49256.55""","=""""","=""""","=""L7185"""
"=""3p6.4s.49p""","=""1P*""","=""1""",3,"=""""","=""49256.56""","=""""","=""""","=""L7185"""
"=""3p6.4s.49d""","=""1D""","=""2""",5,"=""""","=""49257.74""","=""""","=""""","=""L7185"""
"=""3p6.4s.50p""","=""3P*""","=""2""",5,"=""""","=""49258.45""","=""""","=""""","=""L7185"""
"=""3p6.4s.50p""","=""1P*""","=""1""",3,"=""""","=""49258.60""","=""""","=""""","=""L7185"""
"=""3p6.4s.49d""","=""3D""","=""2""",5,"=""""","=""49258.65""","=""""","=""""","=""L7185"""
"=""3p6.4s.50d""","=""1D""","=""2""",5,"=""""","=""49259.68""","=""""","=""""","=""L7185"""
"=""3p6.4s.51p""","=""3P*""","=""2""",5,"=""""","=""49260.36""","=""""","=""""","=""L7185"""
"=""3p6.4s.51p""","=""1P*""","=""1""",3,"=""""","=""49260.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.50d""","=""3D""","=""2""",5,"=""""","=""49260.64""","=""""","=""""","=""L7185"""
"=""3p6.4s.51d""","=""1D""","=""2""",5,"=""""","=""49261.51""","=""""","=""""","=""L7185"""
"=""3p6.4s.52p""","=""3P*""","=""2""",5,"=""""","=""49262.15""","=""""","=""""","=""L7185"""
"=""3p6.4s.52p""","=""1P*""","=""1""",3,"=""""","=""49262.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.51d""","=""3D""","=""2""",5,"=""""","=""49262.42""","=""""","=""""","=""L7185"""
"=""3p6.4s.52d""","=""1D""","=""2""",5,"=""""","=""49263.31""","=""""","=""""","=""L7185"""
"=""3p6.4s.53p""","=""3P*""","=""2""",5,"=""""","=""49263.85""","=""""","=""""","=""L7185"""
"=""3p6.4s.53p""","=""1P*""","=""1""",3,"=""""","=""49263.99""","=""""","=""""","=""L7185"""
"=""3p6.4s.52d""","=""3D""","=""3""",7,"=""""","=""49264.19""","=""""","=""""","=""L7185"""
"=""3p6.4s.53d""","=""1D""","=""2""",5,"=""""","=""49264.77""","=""""","=""""","=""L7185"""
"=""3p6.4s.54p""","=""3P*""","=""2""",5,"=""""","=""49265.44""","=""""","=""""","=""L7185"""
"=""3p6.4s.54p""","=""1P*""","=""1""",3,"=""""","=""49265.59""","=""""","=""""","=""L7185"""
"=""3p6.4s.53d""","=""3D""","=""2""",5,"=""""","=""49265.60""","=""""","=""""","=""L7185"""
"=""3p6.4s.54d""","=""1D""","=""2""",5,"=""""","=""49266.36""","=""""","=""""","=""L7185"""
"=""3p6.4s.55p""","=""3P*""","=""2""",5,"=""""","=""49266.99""","=""""","=""""","=""L7185"""
"=""3p6.4s.55p""","=""1P*""","=""1""",3,"=""""","=""49267.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.54d""","=""3D""","=""2""",5,"=""""","=""49267.18""","=""""","=""""","=""L7185"""
"=""3p6.4s.55d""","=""1D""","=""2""",5,"=""""","=""49267.84""","=""""","=""""","=""L7185"""
"=""3p6.4s.56p""","=""3P*""","=""2""",5,"=""""","=""49268.40""","=""""","=""""","=""L7185"""
"=""3p6.4s.56p""","=""1P*""","=""1""",3,"=""""","=""49268.52""","=""""","=""""","=""L7185"""
"=""3p6.4s.55d""","=""3D""","=""2""",5,"=""""","=""49268.57""","=""""","=""""","=""L7185"""
"=""3p6.4s.56d""","=""1D""","=""2""",5,"=""""","=""49269.33""","=""""","=""""","=""L7185"""
"=""3p6.4s.57p""","=""3P*""","=""2""",5,"=""""","=""49269.77""","=""""","=""""","=""L7185"""
"=""3p6.4s.57p""","=""1P*""","=""1""",3,"=""""","=""49269.88""","=""""","=""""","=""L7185"""
"=""3p6.4s.56d""","=""3D""","=""2""",5,"=""""","=""49270.01""","=""""","=""""","=""L7185"""
"=""3p6.4s.57d""","=""1D""","=""2""",5,"=""""","=""49270.40""","=""""","=""""","=""L7185"""
"=""3p6.4s.58p""","=""3P*""","=""2""",5,"=""""","=""49271.01""","=""""","=""""","=""L7185"""
"=""3p6.4s.58p""","=""1P*""","=""1""",3,"=""""","=""49271.14""","=""""","=""""","=""L7185"""
"=""3p6.4s.57d""","=""3D""","=""2""",5,"=""""","=""49271.25""","=""""","=""""","=""L7185"""
"=""3p6.4s.58d""","=""1D""","=""2""",5,"=""""","=""49271.79""","=""""","=""""","=""L7185"""
"=""3p6.4s.59p""","=""3P*""","=""2""",5,"=""""","=""49272.24""","=""""","=""""","=""L7185"""
"=""3p6.4s.59p""","=""1P*""","=""1""",3,"=""""","=""49272.35""","=""""","=""""","=""L7185"""
"=""3p6.4s.58d""","=""3D""","=""2""",5,"=""""","=""49272.49""","=""""","=""""","=""L7185"""
"=""3p6.4s.59d""","=""1D""","=""2""",5,"=""""","=""49273.09""","=""""","=""""","=""L7185"""
"=""3p6.4s.60p""","=""3P*""","=""2""",5,"=""""","=""49273.37""","=""""","=""""","=""L7185"""
"=""3p6.4s.60p""","=""1P*""","=""1""",3,"=""""","=""49273.50""","=""""","=""""","=""L7185"""
"=""3p6.4s.59d""","=""3D""","=""2""",5,"=""""","=""49273.53""","=""""","=""""","=""L7185"""
"=""3p6.4s.60d""","=""1D""","=""2""",5,"=""""","=""49274.29""","=""""","=""""","=""L7185"""
"=""3p6.4s.60d""","=""3D""","=""2""",5,"=""""","=""49274.52""","=""""","=""""","=""L7185"""
"=""3p6.4s.61p""","=""1P*""","=""1""",3,"=""""","=""49274.60""","=""""","=""""","=""L7185"""
"=""3p6.4s.61d""","=""1D""","=""2""",5,"=""""","=""49275.58""","=""""","=""""","=""L7185"""
"=""3p6.4s.62p""","=""1P*""","=""1""",3,"=""""","=""49275.62""","=""""","=""""","=""L7185"""
"=""3p6.4s.62d""","=""1D""","=""2""",5,"=""""","=""49275.87""","=""""","=""""","=""L7185"""
"=""3p6.4s.63p""","=""1P*""","=""1""",3,"=""""","=""49276.61""","=""""","=""""","=""L7185"""
"=""3p6.4s.64p""","=""1P*""","=""1""",3,"=""""","=""49277.55""","=""""","=""""","=""L7185"""
"=""3p6.4s.65p""","=""1P*""","=""1""",3,"=""""","=""49278.44""","=""""","=""""","=""L7185"""
"=""3p6.4s.66p""","=""1P*""","=""1""",3,"=""""","=""49279.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.67p""","=""1P*""","=""1""",3,"=""""","=""49280.10""","=""""","=""""","=""L7185"""
"=""3p6.4s.68p""","=""1P*""","=""1""",3,"=""""","=""49280.88""","=""""","=""""","=""L7185"""
"=""3p6.4s.69p""","=""1P*""","=""1""",3,"=""""","=""49281.62""","=""""","=""""","=""L7185"""
"=""3p6.4s.70p""","=""1P*""","=""1""",3,"=""""","=""49282.34""","=""""","=""""","=""L7185"""
"=""3p6.4s.71p""","=""1P*""","=""1""",3,"=""""","=""49283.01""","=""""","=""""","=""L7185"""
"=""3p6.4s.72p""","=""1P*""","=""1""",3,"=""""","=""49283.67""","=""""","=""""","=""L7185"""
"=""3p6.4s.73p""","=""1P*""","=""1""",3,"=""""","=""49284.30""","=""""","=""""","=""L7185"""
"=""3p6.4s.74p""","=""1P*""","=""1""",3,"=""""","=""49284.88""","=""""","=""""","=""L7185"""
"=""3p6.4s.75p""","=""1P*""","=""1""",3,"=""""","=""49285.46""","=""""","=""""","=""L7185"""
"=""3p6.4s.76p""","=""1P*""","=""1""",3,"=""""","=""49286.00""","=""""","=""""","=""L7185"""
"=""3p6.4s.77p""","=""1P*""","=""1""",3,"=""""","=""49286.54""","=""""","=""""","=""L7185"""
"=""3p6.4s.78p""","=""1P*""","=""1""",3,"=""""","=""49287.05""","=""""","=""""","=""L7185"""
"=""3p6.4s.79p""","=""1P*""","=""1""",3,"=""""","=""49287.57""","=""""","=""""","=""L7185"""
"=""Ca II (4s 2S<1/2>)""","=""Limit""","=""---""",,"=""""","=""49305.919611""","=""""","=""0.000004""","=""L22848"""
"=""3p6.3d.4d""","=""3D""","=""1""",3,"=""""","=""51351.74""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3D""","=""2""",5,"=""""","=""51369.38""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3D""","=""3""",7,"=""""","=""51396.32""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3G""","=""3""",7,"=""""","=""51553.6""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3G""","=""4""",9,"=""""","=""51579.0""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3G""","=""5""",11,"=""""","=""51611.4""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3S""","=""1""",3,"=""""","=""51571.7""","=""""","=""""","=""L7185"""
"=""3p6.3d.5p""","=""3D*""","=""1""",3,"=""""","=""51709.5""","=""""","=""""","=""L7185"""
"=""3p6.3d.5p""","=""3D*""","=""2""",5,"=""""","=""51734.6""","=""""","=""""","=""L7185"""
"=""3p6.3d.5p""","=""3D*""","=""3""",7,"=""""","=""51767.0""","=""""","=""""","=""L7185"""
"=""3p6.3d.5p""","=""3P*""","=""1""",3,"=""""","=""51908""","=""""","=""""","=""L7185"""
"=""3p6.3d.5p""","=""1P*""","=""1""",3,"=""""","=""53100""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3F""","=""4""",9,"=""""","=""53200.4""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3F""","=""2""",5,"=""""","=""53214.6""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3F""","=""3""",7,"=""""","=""53247.9""","=""?""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3P""","=""0""",1,"=""""","=""54282.3""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3P""","=""1""",3,"=""""","=""54288.74""","=""""","=""""","=""L7185"""
"=""3p6.3d.4d""","=""3P""","=""2""",5,"=""""","=""54304.6""","=""""","=""""","=""L7185"""
"=""3p6.3d.4f""","=""3D*""","=""1""",3,"=""""","=""55902.8""","=""""","=""""","=""L7185"""
"=""3p6.3d.4f""","=""3P*""","=""1""",3,"=""""","=""55946.6""","=""""","=""""","=""L7185"""
"=""3p6.3d.4f""","=""1P*""","=""1""",3,"=""""","=""55982.3""","=""""","=""""","=""L7185"""
"=""3p6.3d.6p""","=""3D*""","=""1""",3,"=""""","=""56254""","=""""","=""""","=""L7185"""
"=""3p6.3d.5d""","=""3D""","=""2""",5,"=""""","=""56469.0""","=""?""","=""""","=""L7185"""
"=""3p6.3d.6p""","=""3P*""","=""1""",3,"=""""","=""56532.63""","=""""","=""""","=""L7185"""
"=""3p6.3d.5d""","=""3S""","=""1""",3,"=""""","=""56558.9""","=""""","=""""","=""L7185"""
"=""3p6.3d.6p""","=""1P*""","=""1""",3,"=""""","=""56651""","=""""","=""""","=""L7185"""
"=""3p6.4p.5s""","=""3P*""","=""1""",3,"=""""","=""57462""","=""""","=""""","=""L7185"""
"=""3p6.3d.5d""","=""3P""","=""0""",1,"=""""","=""57611.2""","=""""","=""""","=""L7185"""
"=""3p6.3d.5d""","=""3P""","=""1""",3,"=""""","=""57617.9""","=""""","=""""","=""L7185"""
"=""3p6.3d.5d""","=""3P""","=""2""",5,"=""""","=""57638.4""","=""""","=""""","=""L7185"""
"=""3p6.4p.5s""","=""1P*""","=""1""",3,"=""""","=""57960""","=""""","=""""","=""L7185"""
"=""3p6.3d.5f""","=""3D*""","=""1""",3,"=""""","=""58431.31""","=""""","=""""","=""L7185"""
"=""3p6.3d.5f""","=""3P*""","=""1""",3,"=""""","=""58491.91""","=""""","=""""","=""L7185"""
"=""3p6.3d.5f""","=""1P*""","=""1""",3,"=""""","=""58505.89""","=""""","=""""","=""L7185"""
"=""3p6.3d.7p""","=""3D*""","=""1""",3,"=""""","=""58798.92""","=""""","=""""","=""L7185"""
"=""3p6.3d.7p""","=""3P*""","=""1""",3,"=""""","=""59010.87""","=""""","=""""","=""L7185"""
