rank,shot_id,campaign,split_membership,status,candidate_score,candidate_class,core_required_present,core_required_total,profile_preferred_present,profile_preferred_total,edge_activity_present,edge_activity_total,supporting_present,supporting_total,has_core_required,has_thomson_profiles,has_soft_xray,metadata_key_count,signal_like_count,sources,missing_core_required,missing_profile_preferred,missing_edge_activity,error,has__charge_exchange-t_i,has__charge_exchange-v_i,has__equilibrium-beta_normal,has__equilibrium-beta_pol,has__equilibrium-elongation,has__equilibrium-minor_radius,has__equilibrium-psi,has__equilibrium-q,has__equilibrium-q95,has__equilibrium-triangularity_lower,has__equilibrium-triangularity_upper,has__equilibrium-whmd,has__gas_injection-total_injected,has__interferometer-n_e_line,has__magnetics-b_field_pol_probe_obr_field,has__magnetics-b_field_tor_probe_omaha_voltage,has__magnetics-ip,has__pf_active-coil_current,has__pf_active-solenoid_current,has__soft_x_rays-horizontal_cam_lower,has__soft_x_rays-horizontal_cam_upper,has__spectrometer_visible-filter_spectrometer_dalpha_voltage,has__summary-ip,has__summary-power_nbi,has__thomson_scattering-n_e,has__thomson_scattering-t_e,shape__equilibrium-elongation,shape__equilibrium-minor_radius,shape__equilibrium-q95,shape__equilibrium-triangularity_lower,shape__equilibrium-triangularity_upper,shape__interferometer-n_e_line,shape__soft_x_rays-horizontal_cam_lower,shape__soft_x_rays-horizontal_cam_upper,shape__spectrometer_visible-filter_spectrometer_dalpha_voltage,shape__summary-power_nbi,shape__thomson_scattering-n_e,shape__thomson_scattering-t_e
49,11798,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,201,91,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[91],[91],[91],[91],[91],[1801],"[18, 22510]","[18, 22510]","[3, 22510]",[1801],,
50,11799,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[1985],"[18, 24810]","[18, 24810]","[3, 24810]",[1985],,
51,11802,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[1981],"[18, 24761]","[18, 24761]","[3, 24761]",[1981],,
52,11804,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[1981],"[18, 24761]","[18, 24761]","[3, 24761]",[1981],,
53,11805,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[98],[98],[98],[98],[98],[1949],"[18, 24360]","[18, 24360]","[3, 24360]",[1949],,
54,11806,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[1987],"[18, 24830]","[18, 24830]","[3, 24830]",[1987],,
55,11807,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[104],[104],[104],[104],[104],[2073],"[18, 25911]","[18, 25911]","[3, 25911]",[2073],,
56,11808,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[2000],"[18, 24990]","[18, 24990]","[3, 24990]",[2000],,
57,11809,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1977],"[18, 24711]","[18, 24711]","[3, 24711]",[1977],,
58,11810,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1971],"[18, 24631]","[18, 24631]","[3, 24631]",[1971],,
59,11811,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,205,93,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[106],[106],[106],[106],[106],[2113],"[18, 26410]","[18, 26410]","[3, 26410]",[2113],,
60,11812,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,193,87,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[107],[107],[107],[107],[107],[2127],"[18, 26580]","[18, 26580]","[3, 26580]",[2127],,
61,11815,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[106],[106],[106],[106],[106],[2120],"[18, 26490]","[18, 26490]","[3, 26490]",[2120],,
62,11816,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[107],[107],[107],[107],[107],[2127],"[18, 26580]","[18, 26580]","[3, 26580]",[2127],,
63,11817,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[107],[107],[107],[107],[107],[2126],"[18, 26570]","[18, 26570]","[3, 26570]",[2126],,
64,11818,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[107],[107],[107],[107],[107],[2133],"[18, 26660]","[18, 26660]","[3, 26660]",[2133],,
65,11819,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[104],[104],[104],[104],[104],[2076],"[18, 25940]","[18, 25940]","[3, 25940]",[2076],,
66,11820,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[108],[108],[108],[108],[108],[2160],"[18, 27000]","[18, 27000]","[3, 27000]",[2160],,
67,11821,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1979],"[18, 24730]","[18, 24730]","[3, 24730]",[1979],,
68,11822,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[98],[98],[98],[98],[98],[1954],"[18, 24420]","[18, 24420]","[3, 24420]",[1954],,
69,11831,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[94],[94],[94],[94],[94],[1880],"[18, 23490]","[18, 23490]","[3, 23490]",[1880],,
70,11833,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1980],"[18, 24750]","[18, 24750]","[3, 24750]",[1980],,
71,11834,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1964],"[18, 24540]","[18, 24540]","[3, 24540]",[1964],,
72,11835,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[98],[98],[98],[98],[98],[1960],"[18, 24490]","[18, 24490]","[3, 24490]",[1960],,
73,11836,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,207,94,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[97],[97],[97],[97],[97],[1936],"[18, 24190]","[18, 24190]","[3, 24190]",[1936],,
74,11837,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[93],[93],[93],[93],[93],[1852],"[18, 23141]","[18, 23141]","[3, 23141]",[1852],,
75,11838,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[93],[93],[93],[93],[93],[1858],"[18, 23220]","[18, 23220]","[3, 23220]",[1858],,
76,11840,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[98],[98],[98],[98],[98],[1941],"[18, 24260]","[18, 24260]","[3, 24260]",[1941],,
77,11841,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[98],[98],[98],[98],[98],[1956],"[18, 24440]","[18, 24440]","[3, 24440]",[1956],,
78,11847,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[109],[109],[109],[109],[109],[2161],"[18, 27010]","[18, 27010]","[3, 27010]",[2161],,
79,11848,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[82],[82],[82],[82],[82],[1635],"[18, 20430]","[18, 20430]","[3, 20430]",[1635],,
80,11849,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[81],[81],[81],[81],[81],[1619],"[18, 20230]","[18, 20230]","[3, 20230]",[1619],,
81,11850,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[79],[79],[79],[79],[79],[1572],"[18, 19650]","[18, 19650]","[3, 19650]",[1572],,
82,11851,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[83],[83],[83],[83],[83],[1658],"[18, 20721]","[18, 20721]","[3, 20721]",[1658],,
83,11889,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[106],[106],[106],[106],[106],[2119],"[18, 26480]","[18, 26480]","[3, 26480]",[2119],,
84,11890,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[99],[99],[99],[99],[99],[1966],"[18, 24570]","[18, 24570]","[3, 24570]",[1966],,
85,11891,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[112],[112],[112],[112],[112],[2232],"[18, 27890]","[18, 27890]","[3, 27890]",[2232],,
86,11892,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[45],[45],[45],[45],[45],[895],"[18, 11180]","[18, 11180]","[3, 11180]",[895],,
87,11893,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[101],[101],[101],[101],[101],[2008],"[18, 25090]","[18, 25090]","[3, 25090]",[2008],,
88,11894,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[100],[100],[100],[100],[100],[1996],"[18, 24940]","[18, 24940]","[3, 24940]",[1996],,
89,11895,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[47],[47],[47],[47],[47],[924],"[18, 11550]","[18, 11550]","[3, 11550]",[924],,
90,11896,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[102],[102],[102],[102],[102],[2036],"[18, 25441]","[18, 25441]","[3, 25441]",[2036],,
91,11897,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[88],[88],[88],[88],[88],[1742],"[18, 21770]","[18, 21770]","[3, 21770]",[1742],,
92,11898,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[90],[90],[90],[90],[90],[1798],"[18, 22470]","[18, 22470]","[3, 22470]",[1798],,
93,11899,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[61],[61],[61],[61],[61],[1205],"[18, 15060]","[18, 15060]","[3, 15060]",[1205],,
94,11901,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[58],[58],[58],[58],[58],[1151],"[18, 14380]","[18, 14380]","[3, 14380]",[1151],,
95,11902,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[101],[101],[101],[101],[101],[2017],"[18, 25210]","[18, 25210]","[3, 25210]",[2017],,
96,11903,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[95],[95],[95],[95],[95],[1891],"[18, 23631]","[18, 23631]","[3, 23631]",[1891],,
97,11905,M5,train,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[104],[104],[104],[104],[104],[2064],"[18, 25800]","[18, 25800]","[3, 25800]",[2064],,
98,11906,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[107],[107],[107],[107],[107],[2134],"[18, 26670]","[18, 26670]","[3, 26670]",[2134],,
99,11908,M5,val,OK,71.429,CORE_DALPHA_GEOMETRY_CANDIDATE,8,8,0,2,2,2,9,14,True,False,True,211,96,.zgroup;equilibrium;gas_injection;interferometer;magnetics;pf_active;pulse_schedule;soft_x_rays;spectrometer_visible;summary,,thomson_scattering-t_e;thomson_scattering-n_e,,,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,False,False,[110],[110],[110],[110],[110],[2189],"[18, 27360]","[18, 27360]","[3, 27360]",[2189],,
